workerid	Answer.gender	Answer.age	Answer.income	Answer.nativeLanguage	Answer.orders	Answer.personAs	Answer.personBs	Answer.foods	Answer.totalQuants	Answer.eatenQuants	Answer.preciseEatenQuants	Answer.affects
AGPBP85B17VXL	M	25	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Bob,Kathy,Fiona,Steven,Henry,Iris,Heather,Cathy,Olga,Stephanie,Victor,Ivan,Rebecca,Kevin,Nathan,Winston,Tracy,Jane,Calvin,Lena,Oliver,Frank	Barbara,Patrick,Ann,Matt,Nancy,Diana,Grace,Zack,Tom,Wendy,Robert,Mary,Albert,David,Emma,Victoria,Jake,Yvonne,George,Edward,Larry,Patty	pies,cookies,strawberries,blueberries,pies,cookies,M&M's,M&M's,cookies,strawberries,bananas,M&M's,cookies,M&M's,blueberries,strawberries,cookies,strawberries,strawberries,M&M's,blueberries,blueberries	100,100,10,10,100,10,10,10,10,10,10,10,100,100,10,100,100,10,100,100,100,100	10,3,1,7,9,4,4,0,5,6,7,6,7,3,0,3,8,7,1,0,9,10	100,37,1,7,98,4,4,0,5,6,7,6,75,39,0,38,85,7,18,4,91,100	0.75,0.5,0.725,0.275,0.75,0.9,0.65,0.725,0.625,0.75,0.775,0.75,0.7,1,0.6,0.5,0.5,0.3,0.525,0.65,0.725,0.725
AEJBG66WC3TCD	F	55	4	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Oliver,Barbara,Steven,Stephanie,Frank,Diana,Emma,Nathan,Mary,Zack,Ivan,Patty,Fiona,Tom,Bob,Henry,Rebecca,Lena,Robert,Calvin,Wendy,Jake	Yvonne,Grace,Edward,Victoria,Ann,Matt,George,David,Jane,Larry,Patrick,Victor,Olga,Kathy,Tracy,Cathy,Albert,Kevin,Nancy,Iris,Winston,Heather	cookies,strawberries,cookies,M&M's,bananas,bananas,blueberries,cookies,bananas,cookies,M&M's,blueberries,blueberries,bananas,bananas,M&M's,bananas,blueberries,blueberries,cookies,cookies,blueberries	10,10,100,10,100,100,10,100,100,100,10,10,100,10,10,100,10,100,10,10,100,100	8,0,8,2,7,3,2,10,9,2,1,8,10,2,0,0,3,1,6,5,9,2	8,0,85,2,79,30,2,100,95,25,1,8,100,2,0,7,3,14,6,5,90,28	0.75,0,1,0,1,0.75,0,1,1,0.725,0,0.975,0.975,0.025,0.025,0,0.25,0,0.75,0.75,0.975,0.25
A2D4JAIAKIO179	F	25	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Zack,Diana,Patty,George,Steven,Heather,Nancy,Stephanie,Patrick,Jane,Rebecca,Frank,Winston,Cathy,Mary,Victoria,Nathan,David,Henry,Robert,Wendy,Jake	Albert,Larry,Tracy,Matt,Grace,Barbara,Bob,Tom,Victor,Oliver,Fiona,Yvonne,Iris,Kevin,Ivan,Kathy,Emma,Lena,Ann,Edward,Calvin,Olga	M&M's,strawberries,pies,strawberries,cookies,M&M's,blueberries,bananas,cookies,M&M's,strawberries,M&M's,blueberries,M&M's,blueberries,cookies,bananas,cookies,strawberries,strawberries,pies,bananas	100,100,100,100,100,10,10,10,10,100,10,100,10,10,10,10,100,10,10,100,100,10	8,10,4,7,8,4,3,3,7,7,4,10,6,10,4,1,2,0,7,8,8,7	81,100,41,72,83,4,3,3,7,79,4,100,6,10,4,1,29,0,7,80,86,7	0.575,0.675,0.775,0.575,0.8,0.25,0.475,0.6,0.7,0.7,0.475,0.85,0.475,0.525,0.475,0.125,0.7,0.125,0.475,0.7,0.825,0.775
A3O88PQCFK3DTH	F	25	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Tom,Emma,Larry,Wendy,Victor,Lena,Frank,Nathan,Fiona,Iris,Robert,Olga,Jake,Ivan,Kathy,Steven,Bob,Ann,Yvonne,Mary,Barbara,Matt	Tracy,Albert,Oliver,Calvin,Patrick,Jane,Edward,Nancy,Cathy,Henry,Kevin,David,Diana,Stephanie,Patty,Victoria,Zack,Grace,Rebecca,George,Winston,Heather	cookies,pies,bananas,pies,blueberries,cookies,blueberries,strawberries,bananas,bananas,blueberries,M&M's,blueberries,strawberries,bananas,cookies,M&M's,blueberries,pies,pies,strawberries,bananas	10,10,100,100,10,100,100,100,10,10,100,10,10,100,10,10,100,100,100,10,10,100	9,7,3,9,9,4,5,9,4,9,6,2,8,7,1,0,7,8,6,6,1,9	9,7,30,94,9,41,59,98,4,9,69,2,8,75,1,0,73,80,66,6,1,90	0.65,0.9,0.625,1,0.075,0.8,0.2,0.6,0.2,0.375,0.225,0.05,0.175,0.6,0,0.05,0.375,0.375,0.675,0.675,0.025,0.725
A3OBJRZE9UBAM	M	35	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Lena,Cathy,Zack,Barbara,Matt,George,Edward,Rebecca,Robert,Stephanie,David,Olga,Diana,Steven,Grace,Tom,Jane,Nancy,Tracy,Kevin,Victor,Yvonne	Albert,Henry,Patrick,Calvin,Ann,Bob,Winston,Emma,Fiona,Kathy,Patty,Larry,Mary,Frank,Nathan,Jake,Heather,Iris,Wendy,Victoria,Ivan,Oliver	pies,strawberries,pies,bananas,pies,M&M's,blueberries,blueberries,cookies,bananas,strawberries,pies,strawberries,bananas,bananas,M&M's,M&M's,blueberries,M&M's,M&M's,strawberries,cookies	100,100,10,100,10,10,100,100,10,100,10,100,10,100,100,100,10,10,100,10,100,10	3,4,2,4,5,2,4,10,1,10,2,8,4,0,8,0,8,6,5,0,0,7	30,47,2,44,5,2,42,100,1,100,2,85,4,0,80,7,8,6,51,0,4,7	0.8,0.45,0.575,0.925,1,0.175,0.55,0.8,0.15,1,0.175,1,0.4,0,1,0.25,0.7,0.3,0.65,0,0.175,0.725
A1EXJK4WXF8T7T	M	35	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Victoria,Edward,Nathan,Robert,Olga,Frank,Emma,Kevin,George,Grace,David,Barbara,Cathy,Diana,Victor,Matt,Henry,Oliver,Mary,Zack,Jake,Kathy	Bob,Patty,Patrick,Nancy,Calvin,Iris,Heather,Ann,Jane,Tom,Lena,Steven,Fiona,Winston,Albert,Wendy,Ivan,Rebecca,Tracy,Yvonne,Larry,Stephanie	pies,cookies,pies,bananas,pies,bananas,bananas,strawberries,strawberries,pies,bananas,strawberries,pies,M&M's,bananas,blueberries,strawberries,M&M's,M&M's,cookies,M&M's,cookies	10,10,10,10,100,100,100,10,100,100,10,100,10,100,100,10,10,100,10,100,10,100	9,2,4,2,10,9,5,10,10,5,7,4,8,1,3,3,8,5,10,6,6,5	9,2,4,2,100,96,52,10,100,59,7,45,8,14,37,3,8,53,10,66,6,58	0.5,0.2,0.425,0.275,1,0.8,0.9,1,1,0.65,0.75,0.625,0.7,0.225,0.6,0.15,0.65,0.575,0.75,0.425,0.35,0.675
A142UVY0NHR97M	F	45	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Kevin,Tom,Henry,Steven,Patty,Victor,Nathan,Larry,Olga,David,Matt,Fiona,Zack,Oliver,Albert,Frank,Jake,Yvonne,Diana,Ivan,Jane,Nancy	Bob,Grace,Cathy,Calvin,Iris,Edward,Stephanie,Tracy,Winston,Heather,Wendy,Kathy,George,Patrick,Lena,Emma,Ann,Robert,Barbara,Mary,Rebecca,Victoria	M&M's,cookies,cookies,bananas,cookies,pies,M&M's,blueberries,strawberries,pies,cookies,M&M's,blueberries,bananas,cookies,blueberries,strawberries,strawberries,strawberries,bananas,cookies,strawberries	10,100,10,10,100,10,10,10,100,100,100,100,10,10,10,100,10,10,100,10,10,100	10,1,0,3,5,0,4,2,3,6,2,2,3,10,3,3,2,1,0,8,8,5	10,15,0,3,58,0,4,2,36,66,25,25,3,10,3,30,2,1,2,8,8,56	0.75,0.725,0.25,0.675,0.75,0.225,0.25,0.25,0.575,0.75,0.725,0.625,0.225,0.75,0.4,0.35,0.25,0.25,0.25,0.65,0.625,0.625
A1NQWTNVPGU1ZV	M	35	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Jane,Albert,Diana,Patrick,Victor,Heather,Nathan,Frank,Lena,Oliver,Grace,Kathy,Barbara,Cathy,Edward,Calvin,Robert,Wendy,Tom,Victoria,George,Henry	Olga,Matt,Ann,Steven,Tracy,Zack,Bob,Nancy,Larry,David,Winston,Kevin,Rebecca,Jake,Stephanie,Mary,Emma,Iris,Ivan,Yvonne,Fiona,Patty	strawberries,M&M's,bananas,bananas,cookies,pies,strawberries,bananas,cookies,pies,blueberries,M&M's,cookies,blueberries,strawberries,cookies,pies,cookies,cookies,M&M's,cookies,M&M's	100,100,100,100,100,10,100,10,100,100,100,100,100,10,100,10,10,100,10,10,100,10	0,1,1,8,8,1,2,2,5,7,10,7,4,5,1,1,4,9,4,3,0,8	2,15,13,85,80,1,24,2,52,79,100,75,45,5,11,1,4,93,4,3,7,8	0,0,0.5,1,0.95,0.275,0.475,0.5,0.775,0.925,1,0.8,0.675,0.575,0.45,0.175,0.575,0.975,0.525,0.55,0.425,0.825
A3PUU1XU4C1A3V	F	55	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Matt,Grace,Fiona,Wendy,Victoria,Albert,Ivan,Winston,Diana,Emma,Iris,Ann,Mary,Barbara,David,Robert,Edward,Patrick,Larry,Lena,Jake,Henry	George,Tracy,Oliver,Olga,Zack,Rebecca,Jane,Bob,Kathy,Calvin,Nathan,Tom,Yvonne,Stephanie,Victor,Kevin,Cathy,Heather,Frank,Nancy,Patty,Steven	blueberries,strawberries,strawberries,bananas,bananas,cookies,cookies,M&M's,bananas,cookies,M&M's,bananas,cookies,strawberries,bananas,strawberries,blueberries,pies,blueberries,pies,pies,M&M's	100,100,10,10,100,100,10,10,10,100,10,100,100,100,100,100,100,10,10,100,10,100	8,2,9,1,3,4,9,4,8,7,6,5,2,4,9,1,7,1,3,3,10,3	85,23,9,1,33,43,9,4,8,72,6,54,28,43,92,15,70,1,3,38,10,30	0.475,0.25,0.25,0.25,0.75,0.75,0.75,0.375,0.75,0.875,0.55,0.75,0.625,0.6,0.925,0.125,0.6,0.375,0.25,0.85,1,0.75
A38R7SIVV118KT	M	65	4	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Cathy,Oliver,Robert,Fiona,Matt,Jane,Albert,Wendy,Olga,Diana,Heather,Ivan,Winston,George,David,Emma,Victor,Jake,Steven,Barbara,Mary,Zack	Calvin,Grace,Larry,Yvonne,Stephanie,Henry,Frank,Kevin,Tom,Patty,Nathan,Iris,Ann,Patrick,Rebecca,Edward,Victoria,Tracy,Bob,Nancy,Lena,Kathy	strawberries,pies,blueberries,strawberries,cookies,cookies,M&M's,strawberries,M&M's,M&M's,M&M's,blueberries,cookies,pies,pies,M&M's,blueberries,strawberries,blueberries,M&M's,pies,bananas	100,100,100,10,100,100,10,100,100,10,10,100,10,100,100,100,10,10,10,100,10,10	10,5,7,0,6,2,0,1,10,6,2,5,6,3,10,5,6,4,2,3,2,5	100,51,70,0,67,28,0,13,100,6,2,53,6,32,100,59,6,4,2,37,2,5	1,1,1,0,0.85,0.775,0.05,0.625,1,0.075,0,0.6,0.85,0.6,1,0.625,0,0,0,0.5,0.575,1
A2FKUDYC5IKBHZ	F	25	10	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Albert,Victoria,Matt,Ann,Victor,Patrick,Barbara,Tom,Diana,Fiona,Emma,Steven,Yvonne,Jake,Henry,Calvin,Rebecca,Bob,Frank,Wendy,Winston,Kevin	George,Iris,Robert,Nathan,Heather,Ivan,Zack,Mary,Patty,Grace,Edward,Larry,Tracy,Oliver,Jane,Stephanie,Olga,Cathy,Kathy,Nancy,David,Lena	cookies,blueberries,strawberries,bananas,strawberries,strawberries,cookies,M&M's,bananas,pies,blueberries,cookies,pies,blueberries,pies,pies,bananas,bananas,cookies,cookies,strawberries,cookies	10,10,100,100,10,100,10,100,10,10,10,100,10,100,100,10,10,100,100,10,10,10	1,1,2,9,9,3,10,2,1,0,10,0,4,2,5,3,3,5,6,3,3,7	1,1,20,99,9,38,10,25,1,0,10,8,4,26,50,3,3,54,61,3,3,7	0.025,0.025,0.25,0.75,0.725,0.5,0.975,0.5,0.025,0,0.875,0.25,0.25,0.5,0.6,0.3,0.025,0.75,0.725,0.075,0.275,0.575
A1KAM5ZQ964VBE	F	65	4	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Yvonne,Fiona,Tom,Heather,Edward,Tracy,Calvin,Stephanie,Nathan,Bob,Zack,David,Ann,Henry,Emma,Oliver,Diana,Iris,Olga,Larry,Victor,Victoria	Mary,Winston,Barbara,Matt,Jake,Frank,Albert,Patty,Robert,George,Nancy,Patrick,Jane,Lena,Rebecca,Kathy,Ivan,Cathy,Steven,Kevin,Grace,Wendy	cookies,strawberries,strawberries,bananas,bananas,blueberries,strawberries,M&M's,M&M's,pies,strawberries,strawberries,cookies,bananas,M&M's,cookies,M&M's,strawberries,strawberries,M&M's,M&M's,bananas	100,10,10,100,10,100,100,100,10,10,100,10,100,10,10,10,100,10,100,100,10,100	9,3,9,4,10,10,6,9,2,8,2,2,10,9,6,3,8,8,9,10,7,10	95,3,9,49,10,100,63,92,2,8,23,2,100,9,6,3,88,8,94,100,7,100	0.75,0.25,0.9,0.75,1,0.975,0.75,0.85,0.15,1,0.5,0.25,0.975,0.975,0.7,0.325,0.85,0.85,0.95,1,0.85,0.975
A3CKD1NOQZTPHB	F	55	4	english	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Larry,Patrick,Grace,Kevin,George,Victoria,Ann,Frank,Heather,Jane,Edward,Lena,Nathan,Fiona,Robert,Oliver,Olga,Albert,Ivan,Nancy,Iris,Rebecca	Winston,Jake,Diana,Tracy,Cathy,Matt,Patty,Victor,David,Kathy,Barbara,Bob,Steven,Mary,Henry,Emma,Calvin,Stephanie,Yvonne,Zack,Tom,Wendy	strawberries,M&M's,pies,blueberries,blueberries,bananas,cookies,pies,strawberries,pies,pies,cookies,bananas,cookies,blueberries,pies,bananas,bananas,M&M's,bananas,bananas,M&M's	10,100,100,10,10,100,100,10,10,100,100,100,10,100,100,100,10,100,100,100,10,10	2,10,10,10,4,3,9,4,9,2,3,0,0,2,1,9,4,1,2,2,9,0	2,100,100,10,4,35,95,4,9,20,35,5,0,28,13,98,4,17,28,29,9,0	0.225,0.65,0.725,0.3,0.25,0.225,0.675,0.125,0.15,0.275,0.25,0.025,0.025,0.25,0.175,0.775,0.35,0.3,0.25,0.275,0.625,0.025
ATCP0SLRG77W9	F	45	6	English	1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22	Wendy,Ivan,Jane,Ann,Patrick,Victor,Edward,Cathy,Olga,Nancy,Jake,Nathan,David,Grace,Robert,Frank,Larry,Barbara,Henry,Mary,Patty,Fiona	George,Heather,Stephanie,Iris,Rebecca,Steven,Kevin,Matt,Tracy,Oliver,Victoria,Zack,Albert,Winston,Yvonne,Bob,Kathy,Emma,Tom,Diana,Calvin,Lena	bananas,bananas,M&M's,bananas,blueberries,cookies,strawberries,pies,blueberries,M&M's,blueberries,pies,strawberries,M&M's,blueberries,pies,bananas,blueberries,cookies,pies,cookies,blueberries	100,10,100,10,100,100,100,10,10,10,100,10,100,100,100,100,100,10,10,100,10,100	8,10,10,7,6,7,1,2,7,8,7,10,9,7,3,2,2,10,1,1,2,1	82,10,100,7,68,74,19,2,7,8,70,10,98,73,37,24,25,10,1,15,2,12	0.75,0.75,0.75,0.625,0.5,0.85,0.225,0.625,0.475,0.5,0.575,0.975,1,0.75,0.525,1,0.75,0.5,0.075,0.775,0.225,0.1
