Item_ID	Sentence	Word	POS	Phrase	Partitive	LenSentence
1207:16	but i still get all of those calls	all		NP	yes	8
1257:36	i just, um, don't particularly care for that at all.	all		ADVP	no	11
1303:28	i believe 0 we've pretty much summed everything up.	everything		NP	no	10
1393:12	and i've never faced that at all.	never		ADVP-TMP	no	8
1393:23	and i've never faced that at all.	all		ADVP	no	8
1415:16	because women are in every field now,	every		NP	no	7
1503:36	i would just take her the actual paperwork once, uh, every week or two,	every		NP	no	14
1567:61	but we don't want *-1 to miss any of those p t a --s and, you know, all of that.	all		NP	yes	21
1592:85	plus, i bet 0 it cuts, cuts down on your absenteeism because you've got two days off that you can do everything *t*-1,	everything		NP	no	24
1621:10	it's always been that way.	always		ADVP-TMP	no	6
1630:7	she always worked,	always		ADVP-TMP	no	3
1680:23	i, uh, listen to it all the time in, in my car,	all		NP-TMP	no	12
1773:52	and, uh, she thinks 0 it *exp*-3's pretty funny how often i know all of the words to songs that she's listening to *t*-1 *t*-2,	all		NP	yes	27
1823:73	and, he, he since then has, has amended that, and paid them his royalties every time 0 the, the song goes on *t*-1	every		NP	no	23
1873:20	i mean, there was nothing,	nothing		NP-PRD	no	5
1946:124	i mean, i like, you know, things like *-1 to hear, you know, what they call *t*-2 world music. which *t*-3 is, you know, * using all these natural forms of music	all		NP	no	32
1982:28	the, the best of every type of music.	every		NP	no	8
2053:9	and you never would think that they, that they can actually play together	never		ADVP-TMP	no	13
2066:41	and i made a lotus spreadsheet and went through the year *-2 using all of our, our checkbook *-3 to figure out what we spent *t*-1 each time and whether we were over or under for each month	all		NP	yes	38
2084:14	what do you all do *t*-1?	all		NP	no	6
2104:21	and keep-, everything is working pretty good.	everything		NP-SBJ	no	7
2126:56	we've taken that this year, and said 0 we're going *-1 to pay off all of our credit cards	all		NP	yes	21
2153:14	what are you all trying *-1 to do *t*-2 long term.	all		NP	no	11
2157:73	he ha-, you know, his retirement plan and then to coda and stuff like that, that's all 0 we,	all		NP	no	20
2209:10	we've never done any-,	never		ADVP-TMP	no	5
2235:13	that's about all for mine.	all		NP-PRD	no	6
2262:11	but my mother always gave me hers	always		ADVP-TMP	no	7
2263:43	and i, i really enjoyed, you know, all the little things *ich*-2 that you find *t*-1 out about texas.	all		NP	no	19
2320:16	uh, so that's all in self improvement * to stay focused on who the customer is *t*-1	all		VP	no	18
2321:25	and as you probably well know, all of us are our own customer.	all		NP	yes	13
2326:9	um, every now and then i'm loaned *-3 a tape 0 i can stick *t*-1 in the, uh, in the car cassette set on the way home * to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which *t*-2 all, you know, betters yourself.	every		ADVP-TMP	no	65
2326:219	um, every now and then i'm loaned *-3 a tape 0 i can stick *t*-1 in the, uh, in the car cassette set on the way home * to make the drive more enjoyable, talking about, uh, better outlooks on things and the philosophy of, of pat hagerty and these kind of, uh, mind stimulating philosophy type. which *t*-2 all, you know, betters yourself.	all		NP	no	65
2359:28	um, our supervisor, uh, subtly bought all of us a book called * what every supervisor should know *t*-1. by a man, man named * doctor bittel, b i t t e l	all		NP	yes	33
2385:21	and, of course, they're all just a little spookier than the movies,	all		VP	no	13
2386:24	but, uh, it's always, they're always challenging 0 * to get through *t*-1 one of them.	always		ADVP-TMP	no	18
2386:38	but, uh, it's always, they're always challenging 0 * to get through *t*-1 one of them.	always		ADVP-TMP	no	18
2395:36	in quality, especially now days, uh, that's almost everything that *t*-1 comes across the, the, the airways mumblex.	everything		NP	no	19
2398:17	you could almost label everything quality in some sense or other	everything		NP-SBJ	no	11
2407:20	and, and all that kind of rolls in together there,	all		NP-SBJ	no	10
2438:15	and it varies like every day. i mean from jeans one day to business suits the next.	every		NP-TMP	no	17
2456:7	it always seems like i'm doing that	always		ADVP-TMP	no	8
2469:33	and we have a lot of government folks come in all the time	all		NP-TMP	no	13
2517:16	and it went up all the way to the head of facilities, * complaining that we were wearing shorts.	all		NP-ADV	no	19
2536:23	and you can call them culottes all 0 you want *t*-1	all		NP	no	11
2538:11	that's all 0 they were *t*-1.	all		NP	no	7
2561:10	it's always been a big problem in lewisville in the summertime.	always		ADVP-TMP	no	12
2575:11	so, it always gets annoying because the rest of us are going, well god, we have a pair of those at home too.	always		ADVP-TMP	no	23
2591:18	i mean i've never seen them do it without hose,	never		ADVP-TMP	no	11
2592:15	i mean they always have hose on,	always		ADVP-TMP	no	7
2598:44	well i think 0 t i's dress code is pretty lax * considering everything, anyway, you know, uh.	everything		NP	no	19
2623:75	when i was looking at her materials *t*-1 when she first started, you know, *t*-2 she had her benefits package and all that kind of stuff.	all		NP	no	26
2692:14	and i never, i never ever, ever, ever go in in a pair of jeans, you know.	never		ADVP-TMP	no	17
2692:25	and i never, i never ever, ever, ever go in in a pair of jeans, you know.	never		ADVP-TMP	no	17
2705:27	because, there's one that *t*-1 always wears a suit.	always		ADVP-TMP	no	10
2706:24	a matter of fact, he's never seen *-1 without his jacket to the suit on, buttoned *.	never		ADVP-TMP	no	18
2711:12	and he's always kind of like in the khaki pants and, you know, a shirt,	always		ADVP-TMP	no	16
2720:24	and then other ones tend *-1 to always wear a suit with a very starched cotton shirt.	always		ADVP-TMP	no	17
2765:12	but we've never got *-1 to talk to another person,	never		ADVP-TMP	no	11
2766:10	it was always just talking to the computer.	always		ADVP-TMP	no	8
2824:15	and our yard work, everything is in bloom,	everything		NP-SBJ	no	8
2909:82	it's amazing to me because i have only lived in dallas for three years, and i can not believe that the wind blows all the time.	all		NP-TMP	no	27
2919:17	and it was that way every day.	every		NP-TMP	no	7
2945:21	and, i had *-1 to always,	always		ADVP-TMP	no	6
2947:10	i'd always said 0 i was going *-1 to go back to school and go to notre dame.	always		ADVP-TMP	no	19
3049:50	i'm sure 0 you have a representative somewhere in the area. if just nothing more than a business representative or government services representative,	nothing		NP	no	24
3075:9	and i always thought 0 it *exp*-3's not necessary * to measure your time, just to go ahead and enjoy the conversation, and, and, end it when * needed *-1 *t*-2.	always		ADVP-TMP	no	32
3095:34	but mumblex, within our department. we take care of everything. waste water, uh, solid waste, and recycling, and, and air and,	everything		NP	no	21
3142:40	and, and, yeah, i take care of all the air modeling, specifically for the dallas area.	all		NP	no	16
3143:49	what we do *t*-1, we have a weather station, that we get all of this information, you know, temperature, wind speed, wind direction *t*-2,	all		NP	yes	24
3149:17	so that we know every chemical on site and, and, um, its concentration,	every		NP	no	13
3261:27	it's like brash metal, which all 0 they do *t*-1 is 0 like, they have this guitar and they just bang at the guitar *t*-2,	all		NP	no	26
3282:76	and what you do *t*-1 is, 0 you also try *-2 to get up on stage and jump down on top of all these other people.	all		NP	no	26
3299:16	and, like, you always thought about, like, suicide. and * killing people and stuff like that.	always		ADVP-TMP	no	16
3417:19	and now you're singing all this stuff that, *t*-3 doesn't matter what you, what you sing *t*-2 or what you record *t*-1,	all		NP	no	24
3452:32	and then, one of them said, well, everything is great,	everything		NP-SBJ	no	10
3463:15	i was never, i was born in nineteen hundred sixty-nine.	never		ADVP-TMP	no	10
3477:22	i, i never found out what a lot of the seventies music had *t*-1 too.	never		ADVP-TMP	no	15
3483:10	i've never liked disco.	never		ADVP-TMP	no	5
3528:12	well, they always say that the seventies was the lowest point in, in progression, ever in history.	always		ADVP-TMP	no	17
3534:6	about everything.	everything		NP	no	2
3538:20	so, it's like, nothing happened during the seventies.	nothing		NP-SBJ	no	9
3542:98	the, the eighties are called *-1, like the progressive years, or the, or, you know, like the technology years, because of all the computers and stuff.	all		NP	no	26
3546:14	but the seventies got nothing.	nothing		NP	no	5
3554:7	i never thought of that.	never		ADVP-TMP	no	5
3607:3	all right,	all		INTJ	no	2
3654:10	have you all been able *-1 to do much as a family these days?	all		NP	no	14
3658:10	have you all been able *-1 to do much as, uh, as a full family these days, all of you.	all		NP	no	20
3658:70	have you all been able *-1 to do much as, uh, as a full family these days, all of you.	all		NP	yes	20
3661:70	we've, uh, been, um, we've gone other, you know, all kinds of places,	all		NP	no	15
3668:38	or we, you know, we do everything 0 we can possibly *?* *t*-1 as a family.	everything		NP	no	17
3696:18	and, we just do all kinds of fun things like that	all		NP	no	11
3750:31	but during the day, you know, it's all devoted *-1 to our kids	all		VP	no	14
3833:56	and it's like, during the week, it's like five dollars admission per child, all day.	all		NP-TMP	no	17
3852:9	and then all the, the, the rides are free.	all		NP-SBJ	no	9
3853:29	you know, of course, they have all the little video games and, you know, those little quarter rides, you know, *ich*-1 to, and stuff like that	all		NP	no	26
3862:32	you don't have *-1 to have tokens for everything.	everything		NP	no	10
3903:49	but i feel almost ashamed *-1 to say that to anybody now because i have never met anybody who *t*-2 likes it.	never		ADVP-TMP	no	22
3971:48	as a matter of fact, uh, turner broadcasting, has been uh, broadcasting all of the james bond movies, every night this week,	all		NP	yes	22
3971:65	as a matter of fact, uh, turner broadcasting, has been uh, broadcasting all of the james bond movies, every night this week,	every		NP-TMP	no	22
3996:15	oh, he can never cut it.	never		ADVP-TMP	no	6
4053:54	the interior minister of, in england, with the permanent secretary, and bureaucracy and all that.	all		NP	no	15
4090:37	i read about two or three novels a week, in addition to all the technical stuff.	all		NP	no	16
4120:33	i think 0 that's something 0 we all ca-,	all		NP	no	10
4280:10	i've never done aerobics or any sort of structured,	never		ADVP-TMP	no	10
4337:12	and i've always enjoyed dance.	always		ADVP-TMP	no	6
4342:43	i, i can't get out * to dance all the time	all		NP-TMP	no	12
4374:7	and all 0 you do *t*-1 is follow along and enjoy yourself.	all		NP	no	12
4391:61	and it's, it, it's something 0 you can all,	all		NP	no	11
4425:71	and, i didn't realize that they ha-, were going *-1 to reach out to people from, all over the country.	all		PP	no	21
4443:8	for all 0 i know *t*-1 aerobics started out here.	all		NP	no	10
4457:34	people from california seem *-1 to be more health motivated all around. i mean, as far as the diet, and everything. uh, the diet and, uh, just your health consciousness,	all		ADVP	no	30
4457:71	people from california seem *-1 to be more health motivated all around. i mean, as far as the diet, and everything. uh, the diet and, uh, just your health consciousness,	everything		NP	no	30
4484:31	it says 0 ever-, all sorts of factors go into health and 0 there's no reason 0 * to talk about one rather than another *t*-1, so that they, they combined them all together.	all		NP	no	35
4484:133	it says 0 ever-, all sorts of factors go into health and 0 there's no reason 0 * to talk about one rather than another *t*-1, so that they, they combined them all together.	all		ADVP	no	35
4541:25	and, i guess because they spend all day in back of their desks.	all		NP-TMP	no	13
4555:13	oh, like everything else.	everything		NP	no	4
4577:29	and they don't do very much vigorous exercise at all.	all		ADVP	no	11
4661:42	you get, uh, an influx of a lot of people from all over the country,	all		PP	no	15
4724:49	but, um, just as far as * watching the news and reading the papers and all that, it sounds like the crimes in the cities are really getting bad.	all		NP-ETC	no	29
4726:55	well, you know, i've, i've seen those statistics and everything,	everything		NP-ETC	no	12
4732:30	but they had mortars and machine guns, tanks and all that.	all		NP	no	11
4750:11	murder is nothing to them, you know.	nothing		NP	no	7
4820:12	you could, always make them the slave of the people 0 they committed the crime against *t*-1.	always		ADVP-TMP	no	17
4854:28	turkey has the death penalty, for just about everything.	everything		NP	no	9
4905:35	you know, and these guys, they come to work every morning	every		NP-TMP	no	11
4908:12	and they work all day,	all		NP	no	5
4939:33	you know, and they flipping me the finger and all that	all		NP-ETC	no	11
5075:26	i'm still trying *-1 to get all the d m c colors.	all		NP	no	13
5079:37	i've got the kits 0 * to put them all in *t*-1.	all		NP	no	13
5080:19	i don't have them all yet certainly.	all		NP	no	8
5122:13	i just love all the different colors.	all		NP	no	7
5145:12	and just into everything,	everything		NP	no	4
5232:20	and it has the borders and everything already.	everything		NP	no	8
5254:53	now i've got the material 0 * to do an afghan that i just never did get around to * finishing it *t*-2 *t*-3.	never		ADVP-TMP	no	25
5306:9	i almost never watch television, as a matter of course	never		ADVP-TMP	no	10
5334:8	they all were, were tapped *-1 into c n n.	all		NP	no	10
5347:6	and all this week they have been having this, uh, a discussion about 0 that is why, uh, why c n n was	all		NP-TMP	no	23
5365:12	so we got all fearful for our people,	all		ADJP-PRD	no	8
5388:12	but they get all blown *-1 up in the news. um,	all		ADVP	no	11
5426:28	it's just something 0 i have never developed, uh, an interest in *t*-1.	never		ADVP-TMP	no	14
5488:48	i've, i've, i've never done this before,	never		ADVP-TMP	no	10
5489:18	i mean i've never.	never		ADVP-TMP	no	5
5517:9	well, all right.	all		INTJ	no	3
5572:8	because every time 0 i got through *t*-1, i went to dallas, texas.	every		NP	no	13
5638:17	all, all 0 you have *t*-1 is like towns built * around universities.	all		NP	no	13
5859:8	all, all the major companies get into a, a boating race,	all		NP-UNF-SBJ	no	11
5859:16	all, all the major companies get into a, a boating race,	all		NP-SBJ	no	11
5923:7	like all these people are just standing, sitting around, just going, you know, like what shall we do *t*-1?	all		NP-SBJ	no	19
5968:7	they never fire anybody unless you're caught *-1 doing something illegally.	never		ADVP-TMP	no	12
6001:29	you're, you're always going *-1 to have great career conditions.	always		ADVP-TMP	no	12
6011:28	but it's like i b m like never in their commercials, they never put down any other company, you know.	never		ADVP-TMP	no	21
6011:44	but it's like i b m like never in their commercials, they never put down any other company, you know.	never		ADVP-TMP	no	21
6054:79	but what they do *t*-1 is, what they did *t*-2, i don't know, is * buy all the parts that i b m would throw *t*-3 away. and build an i b m p c with all the parts that i b m would throw *t*-4 away.	all		NP	no	48
6054:134	but what they do *t*-1 is, what they did *t*-2, i don't know, is * buy all the parts that i b m would throw *t*-3 away. and build an i b m p c with all the parts that i b m would throw *t*-4 away.	all		NP	no	48
6079:14	they buy all, all the things that i b m throws *t*-1 away	all		NP-UNF	no	13
6079:23	they buy all, all the things that i b m throws *t*-1 away	all		NP	no	13
6100:47	and then when you tried *-1 to erase and correct, you know, all the errors in your voice *t*-2, it takes up all your memory.	all		NP	no	25
6100:76	and then when you tried *-1 to erase and correct, you know, all the errors in your voice *t*-2, it takes up all your memory.	all		NP	no	25
6214:10	i had never really thought of it that way	never		ADVP-TMP	no	9
6220:123	now that i'm a hundred percent vested *-1, you know, you kind of look through the book and see well, what exactly, what does that mean *t*-2 and what is the pension all about *t*-3	all		ADVP	no	36
6250:5	all by itself it won't be adequate for, for my situation.	all		ADVP	no	12
6266:11	if you never see it you don't spend it,	never		ADVP-TMP	no	10
6305:88	they work up this whole big, you know, proposal, profile *ich*-4 for you, that, ev-, all the things that you need *-1 to work on *t*-2 and you need *-3 to do *t*-2.	all		NP	no	33
6337:5	all 0 this is going *-2 to do *t*-1 is * give you a little spending money while you're there.	all		NP	no	21
6348:22	she said, now, do you all want him to go to a, a state college or a private college?	all		NP-SBJ	no	19
6393:23	i have, you know, all,	all		TYPO	no	5
6395:12	i've always been involved in little small, you know, ind-, privately owned s-, owned firms	always		ADVP-TMP	no	16
6396:15	and so i've never had the, the big benefit package.	never		ADVP-TMP	no	11
6398:55	it, when i came on *t*-1 it was great because i had never had anything even close to what, what they offered *t*-2.	never		ADVP-TMP	no	23
6434:18	and they're deducting it all along,	all		ADVP-TMP	no	7
6438:41	but it's coming out a little bit at a time instead of all at once, you know.	all		ADVP	no	18
6462:39	uh, a-, as a repayment for, every three to five days that i work overtime there *t*-2, they should give me one day.	every		NP	no	23
6492:25	oh, i'm sure 0 personalities always come into play.	always		ADVP-TMP	no	10
6510:41	and we, sure, our country, all countries sure need help	all		NP-SBJ	no	10
6552:51	i, guess 0 i was of age when the peace corps came in, and all that *t*-1.	all		NP-ETC	no	17
6585:124	but it *exp*-1 might be interesting * to see what *t*-2 would happen if you took kids at a, and then took then to another country instead of * having being exposed *-5 to all the drugs and violence and sex and everything here, and take them to some other country that *t*-3 had different moral values, like saudi arabia where they couldn't drink *t*-4.	all		NP	no	66
6585:140	but it *exp*-1 might be interesting * to see what *t*-2 would happen if you took kids at a, and then took then to another country instead of * having being exposed *-5 to all the drugs and violence and sex and everything here, and take them to some other country that *t*-3 had different moral values, like saudi arabia where they couldn't drink *t*-4.	everything		NP	no	66
6661:19	i know 0 my dad always talked about, uh,	always		ADVP-TMP	no	9
6676:18	the rest of it was all hog wash,	all		VP	no	8
6683:74	i think 0 it might build jobs for people, you know, that *t*-1 were administrating and running and training and coordinating and all that,	all		NP-ETC	no	24
6718:13	they could send all the people over to, uh, you know, one particular part of town or one particular project, that somebody had paid somebody * to, you know, get supported *-1 *t*-2,	all		NP	no	33
6777:57	they wanted *-1 to start like a club for the teenagers, instead of, they said, all these gangs 0 kids could join *t*-2 * to belong.	all		NP	no	26
6813:87	if you want *-1 to go to school outside the country, and many salvadorians did, they'd go to school in cornell, iowa, of all places,	all		NP	no	26
6819:36	the ones 0 i knew *t*-1, you know, always chose the red cross, because they didn't do anything	always		ADVP-TMP	no	19
6823:14	and they had all kinds of, uh, things 0 they could go into *t*-1, agricultural, and you know, really good stuff,	all		NP	no	21
6842:19	and, um, they're all over the world.	all		PP-PRD-LOC	no	8
6846:43	and they have, *-1 to be taught *-2 the language and customs and all those kinds of things,	all		NP	no	18
6899:52	i don't, i don't like *-1 having credit cards for every store.	every		NP	no	14
6914:75	but i, i just, you know, sometimes i just don't like everybody knowing everything about me, you know,	everything		NP	no	19
6945:40	i use mine a great deal, um, for groceries, for everything that i can *?* *t*-1 and, then just write one check at the end of the month, for the entire thing,	everything		NP	no	33
6958:10	that's all right.	all		ADJP-PRD	no	4
6990:7	i never do.	never		ADVP-TMP	no	3
7003:106	see we, he couldn't do without it, h-, but, you know, since he can just do it right there at work, for nothing.	nothing		NP	no	24
7100:25	and, i mean, that does nothing, but 0 *-1 exacerbate the entire problem.	nothing		NP	no	13
7138:141	and, uh, i've been involved in * making, uh, hat stands and, uh, rag dolls and, uh, different type hats with, uh, flowers and roses, you know, and, uh, that kind of thing, straw hats and, all that kind of stuff.	all		NP	no	42
7156:9	so i never have time 0 * to deal with them *t*-1.	never		ADVP-TMP	no	12
7176:13	i play about every night.	every		NP-TMP	no	5
7304:15	well, we're all skinny farts	all		NP-PRD	no	6
7332:25	well, uh, uh, smoking and all that stuff?	all		NP	no	8
7335:3	all that hoedown stuff.	all		NP	no	4
7363:40	there's, uh, there's pluses to everything,	everything		NP	no	8
7372:39	in fact, when my children were growing up *t*-1, we always had horses	always		ADVP-TMP	no	13
7377:7	we always had horses around,	always		ADVP-TMP	no	5
7445:57	since there's so many issues, this one person can believe a lot of different ways on, all of them	all		NP	yes	20
7454:67	i think the, that it ends up 0 the people that, uh, *t*-3 vote every time, uh, 0 elections come around *t*-1 are more the, the polly, uh, the party type followers, the guys that, uh, you know, *t*-2 follow the party lines, you know,	every		NP	no	45
7459:43	and if they're republican they vo-, vote republican every year, you know,	every		NP-TMP	no	13
7460:105	and, uh, the people that *t*-1 are independent, you know, are the ones that *t*-2 don't, uh, don't really, uh, show up every year because they can't seem *-5 to, to decide which *t*-3 are the good aspects *rnr*-6 and which *t*-4 are the bad aspects *rnr*-6 of a candidate.	every		NP-TMP	no	53
7470:7	i always thought	always		ADVP-TMP	no	3
7480:108	they're real liberal now and to where probably fifty or a hundred years ago, um, the democrat party being liberal like they are *?* now, you know, would never be thought of *-2 *t*-1,	never		ADVP-TMP	no	36
7490:29	and then, and then people always get upset about it, too, because, you know, every year the, the, the politicians are the ones that *t*-1 are usually pushing for more people to vote,	always		ADVP-TMP	no	33
7490:67	and then, and then people always get upset about it, too, because, you know, every year the, the, the politicians are the ones that *t*-1 are usually pushing for more people to vote,	every		NP-TMP	no	33
7498:10	i'm always amazed at that, that each candidate thinks 0 it's going *-1 to be the people that *t*-2 come out that *t*-3 will vote for him, you know.	always		ADVP-TMP	no	31
7511:54	when, when abortion comes on the issues *t*-1 and people just get all insp-, inspired, you know,	all		ADJP-PRD	no	17
7546:33	you know, maybe it just wasn't possible at all in the first place, you know, like the no new taxes thing.	all		ADVP	no	22
7548:42	with the economy going the way 0 it is *?* *t*-1 and everything, that was nearly ridiculous thing *-2 to, even try *-3 to do.	everything		NP-ETC	no	26
7748:21	i think 0 he deserves every penny of it.	every		NP	no	9
7787:25	and we had made a list of all these, uh, baseball teams and the cities that they were from *t*-1, mumblex	all		NP	no	21
7800:71	the oakland a's, and i think 0 it was, i don't think 0 it was an all california baseball.	all		NP-PRD-UNF	no	21
7851:13	have you seen all those pictures that they're going *-1 to put *t*-2 out there?	all		NP	no	16
7870:12	and they're never going *-1 to let liquor in there.	never		ADVP-TMP	no	11
7875:12	but they try every year	every		NP-TMP	no	5
7876:6	and every year they get thrown *-1 out.	every		NP-TMP	no	8
8002:22	because, you know, you never know where they are going *t*-1 what they'll report *t*-2 or,	never		ADVP-TMP	no	17
8009:9	and you never see it.	never		ADVP-TMP	no	5
8036:7	and all 0 i do *t*-1 is *-2 teach reading all day long,	all		NP	no	13
8036:38	and all 0 i do *t*-1 is *-2 teach reading all day long,	all		NP	no	13
8130:37	and, uh, and she was telling me all her problems, you know,	all		NP	no	12
8135:46	did she, did she, did you all not talk about the topic at all?	all		NP	no	14
8135:64	did she, did she, did you all not talk about the topic at all?	all		ADVP	no	14
8145:17	oh, gosh, mumblex all the other,	all		NP-UNF	no	6
8153:13	because we go all the time,	all		NP-TMP	no	6
8154:30	the guy 0 i was talking to *t*-1 never goes,	never		ADVP-TMP	no	10
8171:58	and he, he said 0 he didn't think 0 it should have gotten all those awards,	all		NP	no	17
8182:32	i didn't think 0 it was too long at all.	all		ADVP	no	11
8203:26	you know, they've got it all figured *-1 out.	all		S	no	10
8206:20	they want *-1 to see all the horror movies.	all		NP	no	9
8229:58	especially if you get them for a couple of nights you don't have *-1 to watch them all in one ni-, one time.	all		VP	no	24
8274:21	oh, my mom and dad read all the time.	all		NP-TMP	no	9
8319:10	see i never even heard that there was a book tied * in with that movie.	never		ADVP-TMP	no	16
8359:35	and price-wise, it was great because he did it all himself, you know,	all		NP	no	13
8368:21	and i mean it's nothing fancy, you know,	nothing		NP	no	9
8372:11	and we're all comfortable in it.	all		VP	no	7
8394:30	but, uh, of course, my husband did everything except	everything		NP	no	9
8403:56	and, uh, we had *-1 to hire, of course, the plumbing and the brick and everything else,	everything		NP	no	17
8404:5	nothing, you know,	nothing		NP	no	3
8405:11	he did everything else.	everything		NP	no	4
8419:53	but he will not build a second one himself. because he says 0 age-wise he'll never be able *-1 to handle that again.	never		ADVP-TMP	no	24
8425:12	first one is always a bear.	always		ADVP-TMP	no	6
8432:52	so that's kind of, 0 we just got with him and told him what all we wanted *t*-1,	all		NP	no	19
8471:32	if you're happy with it, that's all that *t*-1 counts.	all		NP	no	12
8476:10	that's all,	all		NP-PRD	no	3
8485:28	because i, i'm always shocked at about, you know, what they have it appraised *-2 at *t*-1,	always		ADVP-TMP	no	18
8504:152	but the thing is, is that, um, i have *-1 to keep it under control because, for example, you know, it's like the, the beginning of the semester when you go *-2 to pay for everything *t*-3, everything is pretty rough,	everything		NP	no	42
8504:160	but the thing is, is that, um, i have *-1 to keep it under control because, for example, you know, it's like the, the beginning of the semester when you go *-2 to pay for everything *t*-3, everything is pretty rough,	everything		NP-SBJ	no	42
8523:65	so, the thing is, is basically that i spend, like, maybe thirty-five, forty dollars every two weeks on, on groceries	every		NP-ADV	no	20
8547:6	so all the money comes from home.	all		NP-SBJ	no	7
8559:25	i, i get all my money out of the teller.	all		NP	no	10
8582:41	they, they want me to call down there every so often.	every		ADVP-TMP	no	11
8662:56	you know, anywhere from, um, local area networks, metropolitan area networks, you know, all that,	all		NP	no	15
8709:71	we've got a, several credit cards that sometimes, um, instead of *-1 paying *t*-2 them all off every month maybe you have *-1 to slip some and you pay part of it this month and part of it next month especially around christmas time.	all		NP	no	45
8709:77	we've got a, several credit cards that sometimes, um, instead of *-1 paying *t*-2 them all off every month maybe you have *-1 to slip some and you pay part of it this month and part of it next month especially around christmas time.	every		NP-TMP	no	45
8718:81	and i, you know, i don't wa-, i don't like *-1 to give any at all	all		ADVP	no	18
8760:12	and you spend all this money on all these people,	all		NP	no	10
8760:22	and you spend all this money on all these people,	all		NP	no	10
8917:40	she enjoys *-1 doing it during the cold weather because she's always got something 0 * to cover her, her legs and feet with *t*-2 while she is working on it.	always		ADVP-TMP	no	32
8950:61	first thing that *t*-1 comes to mind is some kind of chain stitch because she starts and goes all the way across, you know, back and forth until she winds up with this big piece of, of afghan.	all		NP	no	38
8955:52	usually single crochet would, is, is always starts it off.	always		ADVP-TMP	no	10
8974:16	we get disconnected *-1 all the time.	all		NP-TMP	no	7
8980:16	i've got kids all over the united states	all		PP-LOC	no	9
8996:7	* always got *-1 to have those.	always		ADVP-TMP	no	7
