Item_ID	Before	After
766:37	###or did he just do it.###.### i think that, i think he really,###his heart was in it,###but i, i don't think he really knew it was going --n40371e to be as big as it was.###i think it was something that he really wanted --n40387f to do --n40388e.###he wanted --n40394c to direct it,###he wanted --n4039b6 to, to star in it.###you know, he, he enjoyed the story line###and i think he just really w-, he really wanted it.	###because i think that, i think he did a good job### and, and the self-satisfaction he got --n403e7e out of it is much greater than any awards that they can give --n403eb9 him.###.
811:55	### that's, that's one of those interesting pieces of trivia that somebody said --n4046d5,###did you notice that.###.###huh-uh.###.###i thought, no,###it's really funny.###but i thought, it, it,###you think back,###and yeah,	###.###yeah.###.
1007:10	### so, or if my call rate of, of eight t-, or so a week went up even higher because, uh, someone had, had,###.###uh-huh,###uh-huh.###.###.###they had you pegged --n404986.###.###right.###and the person who --n4049fd had takes unsolicited phones calls and pays money	###.###yeah.###.
1099:54	###.###uh-huh.###.###whereas in this country where everyone respects the closed doors very much --n407174, if you go out and then act like the lunatic you, you violate the, uh, the norms of social, of, um, public behavior.###um, people start --n4073d8 paying attention to you very much###and they start --n40746c asking questions and in the sense are invite-, invade, invading your privacy although, if you know what the social norms are --n4074df, you know, quote unquote, you asked for it.###but it does mean that you have yet another reason --n4076dd to follow a set of social norms --n407700.###.###yes.###.	###and it wasn't until i was thinking about it just now that i realized that's actually something that --n407931's culturally relative.###.### tha-, that is true.
1170:17	###and invariably just about the time, i'm going --n400645 to sleep --n400654, the phone tears off the wall.###.###uh-huh,###uh-huh.###.###and you are trying --n400782 to crawl out of a half unconscious sleep and answer the phone,### you either hear, the cli-, as soon as you say hello, you hear the click of the recording coming on,###.###uh-huh.###.	###.###that's true,###or the ones that --n400b78 are, are generated --n400b8f by a computer.
1187:29	###i've even had some of them,### the, they're voice activated###and you've got --n400e9c to say hello twice before they'll do anything.###.###uh-huh,###uh-huh.###yeah,###sometimes i, i get them on my, uh, answering machine at home### so, and i hate that when i've got a whole bunch of messages --n4010c0###and i go through them	###.###what i would love --n401258 to see --n401267 done to stop all of this,###.
1189:45	###and you've got --n400e9c to say hello twice before they'll do anything.###.###uh-huh,###uh-huh.###yeah,###sometimes i, i get them on my, uh, answering machine at home### so, and i hate that when i've got a whole bunch of messages --n4010c0###and i go through them###and most of them aren't from anybody at all.###.	###.###uh-huh.###.
1205:16	###.###uh-huh.###.###and i think a law should be passed --n40147b to where any of these people,###i think it --n401557's great, that you know, freedom of speech in this country and everything,###but if they're going --n40168b to offer these services, or these recorded message, everything, they ought --n4016ca to be stuck --n4016dd working with the phone book like everybody else instead of using a computer --n40171c to go through and just go down every sequence of numbers for this certain area code and call them.###.###uh-huh,###yes,###see i have an unlisted telephone number,	###and then some of them are speaking in a foreign language that i don't even understand --n401aa7.###so, yeah,###i do,
1255:36	###yeah,###no,### i, i agree with you there.###if they want --n4033b0 to choose that particular religion that's fine with me too, you know, as long as they don't try and pull me in and drag me in.### and, and i don't like the way that they do it either --n4035a6,### and, and, it --n403670's their mission that they do it.###they go door to door###and they go out into the public###and they actually have the, uh, teenagers serving two years like you would say like in an army and two years in going around and doing missionary type work###and, uh, i don't know,	###and that, that's one thing that i feel really strongly about --n403ace though, is, uh, you know, people --n403afd coming up to my door, and especially religious organizations and wanting --n403b34 to uh, you know, to try and get me to join or, you know, become interested in their religion,###because i have my own.###.
1392:23	###.###yes.###.###okay,###like i said i guess it would be the work force, you know, as far as changes in the generations.###.###yes,###i know because, i know when my mother was a, you know, going into the work force --n400a6f there wasn't very many opportunities for her, i guess,###she's in her late forties.###you were expected --n400c54 to stay home and take care of the kids	###.###uh, no,###i think no-, now, you go to work when they're six weeks old, you know --n400df3,
1566:61	###.###uh-huh.###.###yeah,###you have your career and your home life,###and that would be a nice way, especially if you have young children.###.###oh, it is,###it is,###well both of ours is school age,	###.###uh-huh,###oh, no,
1680:23	###bye-bye.###.###.###hi.###.###hi,###um, okay### what, now, uh, what particularly, particularly what kind of music do you like --n4000c3.###.###well, i mostly listen to popular music.	###so, i, i tend --n400309 to be one of those people who --n40032c switches stations a lot because i don't like commercials.###but, uh, i find myself listening to popular music,###.
1773:51	###.###yeah,###you really.###it seemed --n4023e6 to be influenced --n4023f9 by a lot of different music.###a lot of times you'll hear songs that you know, --n4024ce they're not original, but have been put --n4024f9 to a rap kind of a rhythm.###.###yeah.###.###and, uh, sounds, it sounds so much different###and yet, i, i have a much younger sister who --n402728 listens to a lot of rap music	###and yet, she thought they were brand new, original pieces.###.###yeah.
1946:123	###.###uh-huh.###.###i saw some promise, you know, with, with a lot of the new wave, when it, when it came out, uh, back in the mid and early eighties --n406569.###.###yeah.###.###and then, um, i don't know###music is kind of in a weird, it's in a very weird position right now.###i think that,	###and,###.###like paul simon.
2067:41	###.###.###okay,###so, um,###yes### we do keep, uh, well we started out --n400099 keeping a budget about two years, ago,###we have a computer, here at the house,###.###uh-huh.###.	###and then basically since then what i've done --n40045a is, is keep track of it through the checkbook###so that based on whatever we've got --n400597 coming in, the check coming in, then how much i'm spending --n4005d6 each half of the month and then trying --n400601 to also spe-,###because our house payment is once a month,
2085:14	###.###.###uh-huh.###.###.###a running total.###.###.###yeah.###.	###.###uh, we've, we've, uh, taken how much we have --n400bf7, you know, write down how much we have --n400c26 coming in each month###and then, uh, we've,
2127:55	###.###you don't have --n401e1a to go out and borrow it somewhere and do that.###.###right,###yeah,###because we don't, you know, we don't charge anything that we can't pay --n401f59 off by the end of the month.###.###that's a good choice,### we've been trying, we're trying --n402102 to, uh, do that this year.###we've budgeted the money that we used --n40220a to spend, we were spending --n402229 on a coda account with t i and then money we were also buying stock with --n402274 for that year,	###.###you've got paper under your table.###.
2154:14	###.###.###yeah,###the only thing we have, --n402862 it to pay --n402875 off is our, is a automobile loan and our house payment,###and that's the only thing we ever,###.###that's good to be in that kind of shape.###.###we try --n402ae2 to stay out of debt.###.	###.###huh. oh it's long term.###we just,
2158:73	###and that's the only thing we ever,###.###that's good to be in that kind of shape.###.###we try --n402ae2 to stay out of debt.###.###what are you all trying --n402b72 to do --n402b81 long term.###.###huh. oh it's long term.###we just,	###and you know, we just have our life insurance for right now.###.###uh-huh.
2236:13	###.###okay,###i guess that's most of my, um, financial plans right now.###.###yeah###mine too.###.### is, is there anything you'd like --n4057aa to add --n4057b9.###.###no,	###.###well it --n4058f8's been nice talking to you.###.
2265:43	###um, i get a charge out of, uh, texas highway, which --n400331 is, uh, very colorful,###and, uh, not being a native of texas, but being here eleven years have a tendency to, uh, find out the, uh, about the different areas of the co-, of the, of the state by --n4004d6 reading it.###.###oh.###.###.###right,###i've read that one too.###i only had a subscription once,###but my mother always gave me hers	###.###oh yeah,### it's, it's, uh, absolutely, it's great the way that it's broken out and you can, uh, set up little trips and day trips and things --n400a25.
2322:16	### and, and they give you books### and, and the last book, uh, matter of fact i read --n401f45 was, at america's service by carl albrecht.###it talks about, uh, who the customer is --n40208f and being customer oriented, uh, which --n4020ba falls in line with the t i culture here at texas instruments.###.###yeah.###.###uh, one of its great slogans is if you're not serving the customer, you better be serving someone who --n402297 is.###.###uh-huh.###.	###and as you probably well know, all of us are our own customer.###you're my customer, i'm your customer, sort of thing.###.
2323:25	### and, and the last book, uh, matter of fact i read --n401f45 was, at america's service by carl albrecht.###it talks about, uh, who the customer is --n40208f and being customer oriented, uh, which --n4020ba falls in line with the t i culture here at texas instruments.###.###yeah.###.###uh, one of its great slogans is if you're not serving the customer, you better be serving someone who --n402297 is.###.###uh-huh.###.###uh, so that's all in self improvement to stay focused on who the customer is --n402405	###you're my customer, i'm your customer, sort of thing.###.###right.
2328:217	###uh, one of its great slogans is if you're not serving the customer, you better be serving someone who --n402297 is.###.###uh-huh.###.###uh, so that's all in self improvement to stay focused on who the customer is --n402405###and as you probably well know, all of us are our own customer.###you're my customer, i'm your customer, sort of thing.###.###right.###.	###.###yeah.###.
2361:28	###sure.###how about items like, um, the one minute manager, which --n4033b8 used --n4033c3 to be a big,###okay.###.###yes.###.###so those are self improvements.###.###sure.###.	###.###um.###.
2387:21	###yeah.###.###if he casually just walked into it and, uh, put down a stephen king book and i picked up one of them i might be a little more interested.###.###i don't know,###i'm not sure i could take too much of stephen king.###that's a little, little heavy for me.###.###yeah,### they're, uh, quite, uh, they're hard to set --n40439b down because it's so interesting	###but, uh, it's always, they're always challenging to get through --n4045ac one of them.###.###yeah.
2409:20	###oh, yeah,###you could almost label everything quality in some sense or other###but, uh, i think sometimes the word is a little over used###.### exactly, exactly right.###.###but,###.###yeah, we, we have, i think we, we name drop it a little too much and, and don't fully understand what, what it is --n404d99 we're saying.###i think it's just focusing in on the issue and walking your talk	###.###yeah.###.
2472:33	###but if we're going --n400f75 to have a meeting, where we're having the attorneys --n400fa8 come in, or people from, uh, other party's attorneys and stuff --n400feb, then i normally dress up.###yeah,###and i'll wear a dress and hose and stuff.###.###yeah,###you know, we're kind of that way too.###i try --n4012d6 to,###i'm the same way you are --n401342,###i kind of try --n4013c3 to judge from day to day.###i know, you know, where i am --n401480 we work a lot with the customers	### and, and, you know, if i know that they're going --n40163e to be there, you know, you, i try --n401671 to really watch it and like you say, you know, really dress up###.###uh-huh.
2520:16	###.###oh no.###.###and the supervisor from another area came up to us###and, you know, this area where record retention is --n4026cf, there's only a few people that --n4026f6 work there,###and he, sho-, he knew who --n402801 worked there,###he should have realized that we weren't regulars in the warehouse there.###and he came up to us###and he just said, who's your supervisor --n4029e1.###well he called our supervisor and our supervisor, and our supervisor's supervisor,	###.###oh no.###.
2539:23	###it sounds like mister power hungry.###.###yeah.###.###you know, just yesterday, though, i saw a girl in the spine out here at lewisville that --n402f84 had on a pair of shorts.###.###uh-huh.###.###and i don't care,###you can call them split skirts	###but these were shorts.###that's all they were --n40326e.###.
2541:11	###yeah.###.###you know, just yesterday, though, i saw a girl in the spine out here at lewisville that --n402f84 had on a pair of shorts.###.###uh-huh.###.###and i don't care,###you can call them split skirts###and you can call them culottes all you want --n40318d###but these were shorts.	###.###.###i don't care what else you call them --n4032fd, you know,
2626:75	###women are not allowed --n404f14 to wear slacks,###you wear coordinated suits.###.### i coul-, i couldn't afford --n404fdf to work there.###.### and, and a particular kind of shoe, you know, so high heel,###oh it is spelled --n405172 out.###.###oh, no.###.	###.###uh-huh.###.
2913:78	###.###yes,###yes###it is.###down in the more southern and western areas.###and, of course we are, um, about two hours from the northern border, straight south,###.###yeah.###.### and, and, uh, very windy.	###.###.###it does,
3146:40	### we actually, our division is corporate wide,###and we take care of just the dallas area.###.###uh-huh.###.###of course we have several plants here,###but, um, we do air modeling also.###.###oh, i see.###.	###what we do --n406935, we have a weather station, that we get all of this information, you know, temperature, wind speed, wind direction --n4069a0,###and, uh, we have a huge chemical data base.###.
3147:49	###and we take care of just the dallas area.###.###uh-huh.###.###of course we have several plants here,###but, um, we do air modeling also.###.###oh, i see.###.### and, and, yeah, i take care of all the air modeling, specifically for the dallas area.	###and, uh, we have a huge chemical data base.###.###well, that's interesting.
3266:27	###i mean, i, i think, when you say heavy metal --n4017a8, i'm, i'm thinking about like cinderella, you know.###.###well, cinderella is, is hard rock, heavy metal.###.###well, see, i don't really care for cinderella.###but, i like###a c d c's okay.###.###but, see, for example, they have, see what,###but other bands consider it like really hard rock.	###and the guitar is set --n401db7 like, really low,###.###yeah.
3287:75	###.###and they just bump into each other,###.###uh-huh.###.### like, like they hit each other with their shoulders,###.###uh-huh.###.###and, then, you knock people down,	###.###is that the kind of music that you like --n4023c7.###.
3422:19	###and then he came out with the invisible touch, with, uh, genesis###and that really,###like now, i hate phil collins,###i can't stand him.###.###right.###.###because, i look at him###and i say, you know, you were singing at this time, and with these people,###and you were great,	###it's still going --n404ac4 to be a number one hit.###and so, that's, that's what --n404b71 gets me mad.###.
3547:98	###.###no,###about everything.###.###oh. okay.###.###so, it's like, nothing happened during the seventies.###everything happened during the sixties,###the seventies i don't know what they're called --n406b52 --n406b59, you know,###it's like, like	###.###uh-huh.###.
3612:3	###oh, well, let's see,###yeah,###okay,###we've been talking for seven minutes,###so,###.###oh, good.###i haven't even been --n407dee keeping track.###.###okay,	###so um, i'm going --n407eab to leave you alone.###uh what, what are you doing --n407f5a.###do you have a family.
3660:10	###bye, bye.###.###great,###bye.###.###.###hi diana.###.###hi.###.	###.### pardon me.###.
3664:10	###.###.###hi diana.###.###hi.###.###have you all been able --n40006d to do much as a family these days.###.### pardon me.###.	###.###oh, yes,### we've, uh, been, um, we've gone other, you know, all kinds of places,
3664:70	###.###.###hi diana.###.###hi.###.###have you all been able --n40006d to do much as a family these days.###.### pardon me.###.	###.###oh, yes,### we've, uh, been, um, we've gone other, you know, all kinds of places,
3667:70	###.###hi.###.###have you all been able --n40006d to do much as a family these days.###.### pardon me.###.###have you all been able --n40016d to do much as, uh, as a full family these days, all of you.###.###oh, yes,	###we go out to dinner,###.###yeah.
3702:18	###so he, they can have time with him an.###.###so you have a break too.###.###right,### so and we, uh, we try --n400da2 to teach our kids as much as we can at home, you know,### we have, we try --n400f23 to spend like monday nights, we call it family home evening, and, have our kids, uh, you know, have little lessons with them, and, you know, just see, count, see how things are going --n400ff6 in our family and, you know, teach them about their grandparents or something like that. bring out pictures of them so they get --n401065 to know them###.###uh-huh.###.	###an.###.###yeah,
3756:31	###.###oh that's a big thrill for them.###.### they, they think that's a lot of fun.###so we just, we try --n4024e4 to spend as much time as we can.###we, you know### our, our whole weekends are divi-, are devoted --n402651 to our children except for we might go out, you know, one evening or something,###.###yeah.###.	###and they come, go to church with us###and so.###.
3839:54	###.###.###uh-huh.###.###and it's a indoor fun park###and it has a bunch of different rides for kids.###.###that's sounds fun too.###.###and parents get in --n404134 free	###.### and, and you said about plano and campbell is --n4042a9 the petting,###.
3858:9	###.###yeah,###yeah###and the one in mesquite is, uh, scyene exit.###.###uh-huh.###.###and it's, it's, uh,###the kids just had a wonderful time there,### they, you know, you just pay that admission,	###you know, of course, they have all the little video games and, you know, those little quarter rides, you know, --n40481e to, and stuff like that###but, they thought that was lot of fun.###.
3859:29	###yeah,###yeah###and the one in mesquite is, uh, scyene exit.###.###uh-huh.###.###and it's, it's, uh,###the kids just had a wonderful time there,### they, you know, you just pay that admission,###and then all the, the, the rides are free.	###but, they thought that was lot of fun.###.###yeah.
3978:48	###but, uh###.###did you stay up late and catch this red dwarf.###.###no,###.###oh, that was a scream.###.###no,###no	###.###uh-huh,###.
4058:54	###.###.###oh, what's that about --n402107.###.###that was about a, the interior minister,###it was a comedy,###.###oh, yeah,###yeah.###.	###.###uh-huh.###.
4095:37	###yeah.###.###.###yeah,###i know.###well i, i, i'm not much of a television watcher.### i, i read as i said, and, uh, quite a bit.###.###uh-huh.###.	###.###yeah.###.
4125:31	###uh-huh.###well the last two people who --n4030c0 have called, both worked for t i###and i just wondered.###.###yeah,###yeah,###it could be t i --ers, i think --n403209, probably are participating more than anybody else,###but i needed the money.###this is five bucks here.###.	###.###yeah,###really.
4348:42	###.###yeah.###.###.###and, it's got,###and i've always enjoyed dance.###.###yeah.###.###so it involves, you know,	###and,###.###yeah,
4380:7	###uh-huh.###.###and, someone else is telling me, okay, you know, let's move this way, let's move that way, instead of me having --n40276f to think about it so much.###.###uh-huh,###uh-huh.###.###.###right.###you can just trust someone else to give you full exercise	###.###yeah,###yeah.
4431:71	###.###i'm sorry.###.###.###well, i'm in texas.### i, i just assumed that i had,###this is the first call i've done --n40363f,###.###uh-huh.###.	###.###.###you wouldn't know that.
4447:8	###so, it's the, it's, it's the, the act-, well it's actually,###it's interesting, because there are re-, real regional differences.###um, in california there's, uh, almost an assumption, um, unless you're, sort of, clearly of an older generation --n403b8b, or something, you know, in your sixties, or something like that,###.###.### i'm, i'm, i'm not.###uh, there's an assumption that you do something for your physical fitness, and, and, at least in urban california.###and, maybe not,###i don't know about rural california too well.###but, in urban california it's just, you know,	###i don't know where they actually started --n404162,###but they, you know, the craze really picked up big here###and before that there was the running craze.
4461:34	###and, they,###california gets, you know, tends --n404354 to be a bit faddish,###but, the remarkable thing is how well the fads catch on elsewhere --n40444c.###.###uh-huh.###.###so, there must be something to some of them.###and, uh,###.###well, i think people are, are more inc-, um, um,	###and, i mean, it just, seems like, uh, a lot of those ideas generate out of california.###.###uh-huh.
4488:30	###i think. there, there is a sense of, you know, whole,###there's a lot of, you know,###you'll get organizations, like institutes for the whole health, or whatever.###and, uh, oh the, the, the uni-, university of california at berkeley puts out the wellness letter. which --n404f25 is, uh, turned into a fairly well subscribed to, uh, newsletter, monthly or biweekly newsletter or something like that###.###uh-huh.###.### and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.### it, it's on fairly so-, solid scientific ground.###uh, it's just dispensed --n405384 with these distinctions.	### and, uh, so it's had that orientation for quite some time.###um, there's been some progressive medical schools --n40572e out here, that --n405745 have taken that approach.###.
4488:129	###i think. there, there is a sense of, you know, whole,###there's a lot of, you know,###you'll get organizations, like institutes for the whole health, or whatever.###and, uh, oh the, the, the uni-, university of california at berkeley puts out the wellness letter. which --n404f25 is, uh, turned into a fairly well subscribed to, uh, newsletter, monthly or biweekly newsletter or something like that###.###uh-huh.###.### and, and, it doesn't deal with just exercise, or just stress management, or just diet, or anything.### it, it's on fairly so-, solid scientific ground.###uh, it's just dispensed --n405384 with these distinctions.	### and, uh, so it's had that orientation for quite some time.###um, there's been some progressive medical schools --n40572e out here, that --n405745 have taken that approach.###.
4545:25	###and more and more people start --n406aaa believing them or wondering how to combine them with other things --n406ae1,###.###uh-huh.###.###and, before long, you, you get this, this whole kind of gestalt, this whole package of, of health, of health care and options###.###uh-huh.###.### and, uh, and exercise is, is strongly considered --n406e13 one of them.###the irony is, is it's people in the cities, in my experience, that --n406f38 are most oriented towards --n406f4f doing the exercise.	###the average person out on the farm, at least traditionally, now they drive fancy tractors as much as anything but at least traditionally, the laborers,###.###yeah.
4581:29	###.###.###yeah,###well i, i think so.###.###as a fit person.###.###i mean you, you've,### if you look at cert-, if you look at other cultures,###like i know a little bit about people who --n407dc1 were considered --n407dd0 very healthy in china	###but, they do a lot of low keyed, low impact, low stress exercise,###and they combine it with a, you know, meditation or whatever. some sort of relaxation###.
4665:42	###well of course in the cities,###.###.###yeah,###well, in the cities,###we live close to dallas,###.###uh-huh.###.###so, uh, which, you know,	###so, you're going --n40964d to have a lot of di-, more choices,###.###uh-huh,
4729:48	###.###you know where saint joe is --n4004e5.###.###uh, i've been through there.###.###i'm about eight miles south of it.###.###okay.###oh, yeah.###i had been through saint joe,	###.###well, you know, i've, i've seen those statistics and everything,###and you know, what --n400952 frightens me, is that, you put a half a million people --n40098d out in the middle of the desert with high tech weaponry, you know,
4737:30	###oh, yeah.###i had been through saint joe,###but, um, just as far as watching the news and reading the papers and all that, it sounds like the crimes in the cities are really getting bad.###.###well, you know, i've, i've seen those statistics and everything,###and you know, what --n400952 frightens me, is that, you put a half a million people --n40098d out in the middle of the desert with high tech weaponry, you know,###.###huh-uh.###.###i mean, the iraqis didn't have a lot of high-tech weaponry,	###.###oh, yeah.###.
4913:12	###because that's what our society becomes --n4041b6.### we have, we have just a bunch of people,###.###comes,###yeah.###.### and i've, and i've, i've lived in that, that environment for quite a few years when i was doing construction work --n40438c.###you know, and these guys, they come to work every morning###and they're stoned to the bone.###i mean, they're so high, they could fly up to the top of that building	###and they go home###and they smoke their dope and drink their booze and shoot their drugs###and when they run out of money --n404824, they go down to the corner store and pop the guy on the head and take his money,
4944:33	###.###and these kids were more foulmouthed than i've ever been.###i had one kid threaten my life, threaten my life.###.###in the first grade.###.### told me that daddy's going --n404e1e to whoop me to death.###.###oh, know.###.	###.###huh-uh.###.
5081:26	###or is this mainly cross-stitching.###.###um, i do mostly that, um,###not very artistic --n400e0c really for like painting and stuff.###.###oh, uh-huh.###um, yeah.###.###but, now i don't know.###.	###.###oh, really.###yeah,
5085:35	###.###oh, uh-huh.###um, yeah.###.###but, now i don't know.###.###i'm still trying --n400f54 to get all the d m c colors.###.###oh, really.###yeah,	###i don't have them all yet certainly.###.###yeah,
5086:19	###oh, uh-huh.###um, yeah.###.###but, now i don't know.###.###i'm still trying --n400f54 to get all the d m c colors.###.###oh, really.###yeah,###i've got the kits to put them all in --n401069.	###.###yeah,###right.
5128:13	###.###good grief.###yeah,###there's lots of pinks and greens.###.###pinks and greens.###yeah.###.###there's lots of shades of greens.###but the colors,	###.###yeah.###.
5341:8	###i guess, i just wanted more news.###it's one of the few times i wanted more news than.###.###yeah,###well, i know even if you watched a b c, n b c or the other,###i mean, what's the other one --n400a32, uh,###c b s.###.###c b s.###.	###.###were they.###.
5354:6	###.###uh-uh.###.###yeah.###.###that's the only thing they broadcast --n400c40###and like you i listened to radio on my job at work.###.###uh-huh.###.	###well, i listen to a christian radio station.###.###uh-huh.
5372:12	###you can't really be sure of the quality of what you've got --n4010f8, you know.###.###huh.###.###uh, we had some, uh, some people from our church --n401218 went to israel, uh, just for a, uh, tour sort of thing.###.###uh-huh.###.###and i was watching on tv### they, they broadcast this terrible riot --n401410 supposedly that --n40141f was going on in jerusalem,	### come --n40156f to find out they came back and said they weren't even aware of it,###.###right.
5395:12	###.###right,###right.###.###but, uh, i, i'm from california###and i can remember --n401bba being in, uh, in these earthquakes###and, i mean they were, they were very minor kinds of things from my point of view, and it seemed --n401ccd, you know, from anyone else's point of view,###.###yeah.###.	###.###uh-huh.###well i, i find it --n401f61 depressing --n401f6c to watch our,
5523:9	###well i, i got into a conversation last night with a lady###and they interrupt at ten, minutes.###.###i see.###.###so if we've done our three minutes. let's just let the conversation end and say bye.###.###uh-huh.###.###.	###nice talking to you.###.###nice talking to you too.
5645:17	###.###and,###.###oh.###raleigh durham.###yeah.###.###yeah.###that area.###and it's really small.	###.###uh-huh.###.
5863:16	###but nobody can get one more point --n4050d0 to become, you know, like whatever you need --n4050ff --n405106 to earn so much money.###.###yeah.###since i imagine it's fairly competitive.###.###yeah.###it's like,###no### i, i mean, i b m is like,###there's a joke about i b m which --n4053e7 says, you know, it's like, uh,	###right.###.###uh-huh.
5927:7	###uh-huh.###.###and then the other people just plan it, you know.### it's like, it's like have you, have have you ever seen the commercial like for federal express where the, with, uh, the think tank. you know,###.###mumblex push paper around.###.###.###uh-huh.###.	###has anybody thought of anything.###.###.
6058:78	###.### they, they made like, uh, small personal computers.###.###yeah.###small p c --s.###mumblex they're out of korea###right.###.###i don't know.###i don't know.	###.###uh-huh.###.
6058:133	###.### they, they made like, uh, small personal computers.###.###yeah.###small p c --s.###mumblex they're out of korea###right.###.###i don't know.###i don't know.	###.###uh-huh.###.
6083:23	###.###okay.###.###and so that's,###i mean, they're still around i think --n409661.###.###yeah.### i've seen, well i've seen them around anyway. you know mumblex.###.###so, that's what they do --n40981d.	### and they mumblex, and that's why they're so compatible --n409989. because i mean###.###uh-huh.
6104:47	###in a way you realize,###i mean, one t-, one of my teachers got this computer which, you know,###it's like, uh, voice, uh, synthesizing stuff.###.###uh-huh.###.###and he got that.###he said, you know, it's like, uh,###i was testing it###and it was wonderful.	###.###wow.###.
6104:76	###in a way you realize,###i mean, one t-, one of my teachers got this computer which, you know,###it's like, uh, voice, uh, synthesizing stuff.###.###uh-huh.###.###and he got that.###he said, you know, it's like, uh,###i was testing it###and it was wonderful.	###.###wow.###.
6225:123	###when i was much younger --n400e44 it --n400e4f was, uh, less important to consider retirement and less important to consider medical benefits.###but as i grow older and my family grows, it, the medical benefits are more important###and the retirement is more important.###.###i had never really thought of it that way###but i guess that's true,###i guess that's true.###i'm still young enough that, that, uh, the vacation's real important to me###and the paid time off --n401362 is real important to me and, and that kind of thing.###but, uh, you know, i was just, as a matter of fact, i just, uh, celebrated my fifth year at t i the end of last month and, uh, kind of started --n401507 looking through the, the book because of that, you know,	###and, you know, when you're, when you're, you know, in your,###i'm only in my late twenties now,###so you tend --n401b06 not to think about retirement.
6255:5	###.###and i suppose if, b-, maybe in, in your instance, if, if you're started --n402204 with t i in your early to mid-twenties, and happen --n402237 to stay with them until you're sixty-five, then you'll have a very good retirement plan.###.###right.###.###but i had another career first and then came to t i a little later.###.###uh-huh.###.###so it's not, uh,	###.###it's not going --n4026c9 to build up, quite enough,###.
6310:88	###.###uh, it's shown a history that, uh, --n4035d6 sure beats anything else. over many, many years.###.###yeah,###that's true.###that's very true.###.###.###we went, uh, and did a, a thing through i b s which --n4037a7 is a, like a financial consultant type thing here in dallas###and, uh, one of the things that we talked about --n403937 with the counselor there was, you know,	###and then one of the things that we talked about --n403ce6 with her was, you know, the need to save for our son's education.###we have a two year old, you know,### and, and, you know, we can't start --n403ee8 saving for college when he's sixteen --n403f0b, you know,
6342:5	### that's, what, that's exactly what --n404d05's happening in my family.###.###yeah,###.###.###is it really.###yeah.###.### un-, except that mine are a little bit older### and, and i've shown them the numbers and said this is what --n404f2b's going --n404f3a to be available,	###.###uh-huh.###.
