Item_ID	Sentence	Pre	ParentString	Partitive	ParentNode	NoPreNode	GrammFunction	Objects	NPNiteID
3422:19	and now you're singing all this stuff that, --n40493b doesn't matter what you, what you sing --n404966 or what you record --n40497d,	singing	singing all this stuff that, --n40493b doesn't matter what you, what you sing --n404966 or what you record --n40497d	nullpartitive	VP		NP	NP-OBJ	sw2032_s176_505
3547:98	the, the eighties are called --n406ca2, like the progressive years, or the, or, you know, like the technology years, because of all the computers and stuff.	of	because of all the computers and stuff	nullpartitive	PP-PRP		NP	NP-OTHER	sw2032_s257_526
3612:3	all right,			no					
3660:10	have you all been able --n40006d to do much as a family these days.	you	you all	no	NP-SBJ-N40006D		NP-SBJ-N40006D	NP-IOBJ	sw2035_s3_501
3664:10	have you all been able --n40016d to do much as, uh, as a full family these days, all of you.	you	you all	no	NP-SBJ-N40016D		NP-SBJ-N40016D	NP-IOBJ	sw2035_s5_501
3664:70	have you all been able --n40016d to do much as, uh, as a full family these days, all of you.	days	do much as, uh, as a full family these days, all of you	yes	VP		NP-TPC	NP-OTHER	sw2035_s5_520
3667:70	we've, uh, been, um, we've gone other, you know, all kinds of places,	know	gone other, you know, all kinds of places	no	VP		NP-DIR	NP-OTHER	sw2035_s7_522
3702:18	and, we just do all kinds of fun things like that	do	do all kinds of fun things like that	no	VP		NP	NP-OBJ	sw2035_s30_504
3756:31	but during the day, you know, it's all devoted --n402813 to our kids	's	's all devoted --n402813 to our kids	no	VP				
3839:54	and it's like, during the week, it's like five dollars admission per child, all day.	child	's like five dollars admission per child, all day	no	VP		NP-TMP		sw2035_s121_515
3858:9	and then all the, the, the rides are free.	then	and then all the, the, the rides are free.	no	S		NP-SBJ		sw2035_s134_502
3859:29	you know, of course, they have all the little video games and, you know, those little quarter rides, you know, --n40481e to, and stuff like that	have	have all the little video games and, you know, those little quarter rides, you know, --n40481e to, and stuff like that	nullpartitive	VP		NP	NP-OBJ	sw2035_s135_509
3978:48	as a matter of fact, uh, turner broadcasting, has been uh, broadcasting all of the james bond movies, every night this week,	broadcasting	broadcasting all of the james bond movies, every night this week	yes	VP		NP	NP-OBJ	sw2039_s45_512
4058:54	the interior minister of, in england, with the permanent secretary, and bureaucracy and all that.	and	the permanent secretary, and bureaucracy and all that	nullpartitive	NP		NP	NP-OTHER	sw2039_s91_510
4095:37	i read about two or three novels a week, in addition to all the technical stuff.	to	about two or three novels a week, in addition to all the technical stuff	nullpartitive	NP		NP	NP-OTHER	sw2039_s114_503
4125:31	i think that's something we all ca-,	we	we all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2039_s134_512
4348:42	i, i can't get out to dance all the time	dance	dance all the time	nullpartitive	VP		NP-TMP		sw2041_s63_514
4380:7	and all you do --n4029f1 is follow along and enjoy yourself.	and	and all you do --n4029f1 is follow along and enjoy yourself.	no	S		NP-SBJ	NP-OTHER	sw2041_s84_501
4431:71	and, i didn't realize that they ha-, were going --n403703 to reach out to people from, all over the country.	from	from, all over the country	no	PP				
4447:8	for all i know --n4040ac aerobics started out here.	for	for all i know --n4040ac	no	PP		NP	NP-OTHER	sw2041_s127_502
4461:34	people from california seem --n40469a to be more health motivated all around. i mean, as far as the diet, and everything. uh, the diet and, uh, just your health consciousness,	motivated	be more health motivated all around. i mean, as far as the diet, and everything. uh, the diet and, uh, just your health consciousness	no	VP				
4488:30	it says ever-, all sorts of factors go into health and there's no reason to talk about one rather than another --n405470, so that they, they combined them all together.	ever-	ever-, all sorts of factors go into health	no	S		NP-SBJ	NP-OTHER	sw2041_s156_511
4488:129	it says ever-, all sorts of factors go into health and there's no reason to talk about one rather than another --n405470, so that they, they combined them all together.	them	combined them all together	no	VP				
4545:25	and, i guess because they spend all day in back of their desks.	spend	spend all day in back of their desks	no	VP		NP-TMP		sw2041_s197_508
4581:29	and they don't do very much vigorous exercise at all.	at	at all	no	ADVP				
4665:42	you get, uh, an influx of a lot of people from all over the country,	from	from all over the country	no	PP			NP-OTHER	
4729:48	but, um, just as far as watching the news and reading the papers and all that, it sounds like the crimes in the cities are really getting bad.	and	watching the news and reading the papers and all that	nullpartitive	VP		NP-ETC		sw2051_s21_512
4737:30	but they had mortars and machine guns, tanks and all that.	and	mortars and machine guns, tanks and all that	nullpartitive	NP		NP	NP-OTHER	sw2051_s26_503
4913:12	and they work all day,	work	work all day	no	VP		NP	NP-OBJ	sw2051_s134_503
4944:33	you know, and they flipping me the finger and all that	and	flipping me the finger and all that	nullpartitive	VP		NP-ETC		sw2051_s153_510
5081:26	i'm still trying --n400f54 to get all the d m c colors.	get	get all the d m c colors	nullpartitive	VP		NP	NP-OBJ	sw2053_s36_509
5085:35	i've got the kits to put them all in --n401069.	them	them all	no	NP		NP	NP-IOBJ	sw2053_s39_512
5086:19	i don't have them all yet certainly.	them	them all	no	NP		NP	NP-IOBJ	sw2053_s40_504
5128:13	i just love all the different colors.	love	love all the different colors	nullpartitive	VP		NP	NP-OBJ	sw2053_s69_504
5341:8	they all were, were tapped --n400b16 into c n n.	they	they all	no	NP-SBJ-N400B16		NP-SBJ-N400B16	NP-OTHER	sw2060_s24_501
5354:6	and all this week they have been having this, uh, a discussion about that is why, uh, why c n n was	and	and all this week they have been having this, uh, a discussion about that is why, uh, why c n n was	nullpartitive	S		NP-TMP		sw2060_s31_501
5372:12	so we got all fearful for our people,	got	got all fearful for our people	no	VP				
5395:12	but they get all blown --n401ea3 up in the news. um,	get	get all blown --n401ea3 up in the news. um	no	VP				
5523:9	well, all right.	well	well, all right.	no	INTJ				
5645:17	all, all you have --n401514 is like towns built around universities.	all	all, all you have --n401514 is like towns built around universities.	no	S		NP-SBJ	NP-OTHER	sw2061_s76_505
5863:16	all, all the major companies get into a, a boating race,	all	all, all the major companies get into a, a boating race,	no	S		NP-SBJ		sw2061_s211_505
5927:7	like all these people are just standing, sitting around, just going, you know, like what shall we do --n4067e2.	like	like all these people are just standing, sitting around, just going, you know, like what shall we do --n4067e2.	nullpartitive	S		NP-SBJ		sw2061_s251_502
6058:78	but what they do --n40908d is, what they did --n4090a8, i don't know, is buy all the parts that i b m would throw --n4090f7 away. and build an i b m p c with all the parts that i b m would throw --n40914e away.	buy	buy all the parts that i b m would throw --n4090f7 away	nullpartitive	VP		NP	NP-OBJ	sw2061_s334_529
6058:133	but what they do --n40908d is, what they did --n4090a8, i don't know, is buy all the parts that i b m would throw --n4090f7 away. and build an i b m p c with all the parts that i b m would throw --n40914e away.	with	with all the parts that i b m would throw --n40914e away	nullpartitive	PP		NP	NP-OTHER	sw2061_s334_542
6083:23	they buy all, all the things that i b m throws --n4098af away	all	buy all, all the things that i b m throws --n4098af away	no	VP		NP	NP-OTHER	sw2061_s349_507
6104:47	and then when you tried --n40a0ba to erase and correct, you know, all the errors in your voice --n40a0f9, it takes up all your memory.	know	erase and correct, you know, all the errors in your voice --n40a0f9	nullpartitive	VP		NP	NP-OTHER	sw2061_s364_515
6104:76	and then when you tried --n40a0ba to erase and correct, you know, all the errors in your voice --n40a0f9, it takes up all your memory.	up	takes up all your memory	nullpartitive	VP		NP	NP-OTHER	sw2061_s364_523
6225:123	now that i'm a hundred percent vested --n401751, you know, you kind of look through the book and see well, what exactly, what does that mean --n4017b0 and what is the pension all about --n4017d3	pension	is the pension all about --n4017d3	no	SQ				
6255:5	all by itself it won't be adequate for, for my situation.			no					
6310:88	they work up this whole big, you know, proposal, profile --n403a74 for you, that, ev-, all the things that you need --n403abf to work on --n403ad2 and you need --n403ae5 to do --n403af4.	ev-	work up this whole big, you know, proposal, profile --n403a74 for you, that, ev-, all the things that you need --n403abf to work on --n403ad2 and you need --n403ae5 to do --n403af4	no	VP		NP-N403A74	NP-OTHER	sw2062_s83_526
6342:5	all this is going --n405052 to do --n405061 is give you a little spending money while you're there.			no			NP-SBJ	NP-OTHER	sw2062_s108_501
6353:22	she said, now, do you all want him to go to a, a state college or a private college.	you	you all	no	NP-SBJ		NP-SBJ		sw2062_s114_505
6398:23	i have, you know, all,	know	have, you know, all	no	VP				
6439:18	and they're deducting it all along,	it	deducting it all along	no	VP				
6443:41	but it's coming out a little bit at a time instead of all at once, you know.	of	a little bit at a time instead of all at once	no	UCP				
6516:38	and we, sure, our country, all countries sure need help	country	and we, sure, our country, all countries sure need help	no	S		NP-SBJ		sw2065_s10_512
6558:50	i, guess i was of age when the peace corps came in, and all that --n401774.	and	came in, and all that --n401774	nullpartitive	VP		NP-ETC		sw2065_s35_516
6591:122	but it --n402021 might be interesting to see what --n402044 would happen if you took kids at a, and then took then to another country instead of having being exposed --n4020a3 to all the drugs and violence and sex and everything here, and take them to some other country that --n4020fa had different moral values, like saudi arabia where they couldn't drink --n402135.	to	to all the drugs and violence and sex and everything here	nullpartitive	PP		NP	NP-OTHER	sw2065_s55_544
6682:18	the rest of it was all hog wash,	was	was all hog wash	no	VP				
6689:73	i think it might build jobs for people, you know, that --n40465c were administrating and running and training and coordinating and all that,	and	administrating and running and training and coordinating and all that	nullpartitive	VP		NP-ETC		sw2065_s117_523
6724:13	they could send all the people over to, uh, you know, one particular part of town or one particular project, that somebody had paid somebody to, you know, get supported --n405390 --n405397,	send	send all the people over to, uh, you know, one particular part of town or one particular project, that somebody had paid somebody to, you know, get supported --n405390 --n405397	nullpartitive	VP		NP	NP-OBJ	sw2065_s138_504
6783:57	they wanted --n4070c6 to start like a club for the teenagers, instead of, they said, all these gangs kids could join --n407125 to belong.	said	instead of, they said, all these gangs	nullpartitive	PP		NP	NP-OTHER	sw2065_s177_518
6819:87	if you want --n407e61 to go to school outside the country, and many salvadorians did, they'd go to school in cornell, iowa, of all places,	of	of all places	no	PP		NP	NP-OTHER	sw2065_s198_528
6829:14	and they had all kinds of, uh, things they could go into --n40834d, agricultural, and you know, really good stuff,	had	had all kinds of, uh, things they could go into --n40834d, agricultural, and you know, really good stuff	no	VP		NP	NP-OBJ	sw2065_s204_503
6848:19	and, um, they're all over the world.	're	're all over the world	no	VP				
6852:43	and they have, --n408dac to be taught --n408dbf the language and customs and all those kinds of things,	and	the language and customs and all those kinds of things	nullpartitive	NP		NP	NP-OTHER	sw2065_s220_509
6963:10	that's all right.	's	's all right	no	VP				
7143:140	and, uh, i've been involved in making, uh, hat stands and, uh, rag dolls and, uh, different type hats with, uh, flowers and roses, you know, and, uh, that kind of thing, straw hats and, all that kind of stuff.	and	hat stands and, uh, rag dolls and, uh, different type hats with, uh, flowers and roses, you know, and, uh, that kind of thing, straw hats and, all that kind of stuff	nullpartitive	NP		NP	NP-OTHER	sw2072_s5_511
7309:15	well, we're all skinny farts	're	're all skinny farts	no	VP		NP-PRD		sw2072_s118_504
7337:25	well, uh, uh, smoking and all that stuff.	and	smoking and all that stuff	nullpartitive	NP		NP	NP-OTHER	sw2072_s135_504
7340:3	all that hoedown stuff.			nullpartitive			NP		sw2072_s137_500
7451:57	since there's so many issues, this one person can believe a lot of different ways on, all of them	on	on, all of them	yes	PP-LOC		NP	NP-OTHER	sw2073_s13_515
7517:54	when, when abortion comes on the issues --n40282c and people just get all insp-, inspired, you know,	get	get all insp-, inspired, you know	no	VP				
7552:33	you know, maybe it just wasn't possible at all in the first place, you know, like the no new taxes thing.	at	at all	no	ADVP				
7793:25	and we had made a list of all these, uh, baseball teams and the cities that they were from --n400d16, mumblex	of	of all these, uh, baseball teams and the cities that they were from --n400d16, mumblex	nullpartitive	PP		NP	NP-OTHER	sw2078_s31_507
7857:13	have you seen all those pictures that they're going --n401f5d to put --n401f6c out there.	seen	seen all those pictures that they're going --n401f5d to put --n401f6c out there	nullpartitive	VP		NP	NP-OBJ	sw2078_s74_503
8042:7	and all i do --n40519f is --n4051aa teach reading all day long,	and	and all i do --n40519f is --n4051aa teach reading all day long,	no	S		NP-SBJ	NP-OTHER	sw2078_s184_501
8042:37	and all i do --n40519f is --n4051aa teach reading all day long,	reading	teach reading all day long	no	VP		NP	NP-IOBJ	sw2078_s184_515
8135:37	and, uh, and she was telling me all her problems, you know,	me	telling me all her problems, you know	nullpartitive	VP		NP	NP-IOBJ	sw2078_s240_510
8140:43	did she, did she, did you all not talk about the topic at all.		you all	no	NP-SBJ		NP-SBJ	NP-IOBJ	sw2078_s242_512
8140:61	did she, did she, did you all not talk about the topic at all.	at	at all	no	ADVP				
8158:13	because we go all the time,	go	go all the time	nullpartitive	VP		NP-TMP		sw2078_s254_504
8176:56	and he, he said he didn't think it should have gotten all those awards,	gotten	gotten all those awards	nullpartitive	VP		NP	NP-OBJ	sw2078_s266_519
8187:31	i didn't think it was too long at all.	at	at all	no	ADVP				
8208:26	you know, they've got it all figured --n407fd9 out.	it	it all figured --n407fd9 out	no	S				
8211:20	they want --n408082 to see all the horror movies.	see	see all the horror movies	nullpartitive	VP		NP	NP-OBJ	sw2078_s287_507
8234:58	especially if you get them for a couple of nights you don't have --n408510 to watch them all in one ni-, one time.	them	watch them all in one ni-, one time	no	VP				
8279:21	oh, my mom and dad read all the time.	read	read all the time	nullpartitive	VP		NP-TMP		sw2078_s327_504
8365:35	and price-wise, it was great because he did it all himself, you know,	it	it all	no	NP			NP-IOBJ	
8378:11	and we're all comfortable in it.	're	're all comfortable in it	no	VP				
8438:51	so that's kind of, we just got with him and told him what all we wanted --n402b33,	what	what all	no	WHNP-N402B33		NP	NP-OTHER	sw2079_s80_517
8477:32	if you're happy with it, that's all that --n40393c counts.	's	's all that --n40393c counts	nullpartitive	VP		NP-PRD	NP-OTHER	sw2079_s105_510
8482:10	that's all,	's	's all	no	VP		NP-PRD		sw2079_s108_503
8554:6	so all the money comes from home.	so	so all the money comes from home.	nullpartitive	S		NP-SBJ		sw2092_s31_501
8566:25	i, i get all my money out of the teller.	get	get all my money out of the teller	nullpartitive	VP		NP	NP-OBJ	sw2092_s38_508
8669:56	you know, anywhere from, um, local area networks, metropolitan area networks, you know, all that,	know	local area networks, metropolitan area networks, you know, all that	nullpartitive	NP		NP	NP-OTHER	sw2092_s99_508
8716:71	we've got a, several credit cards that sometimes, um, instead of --n404672 paying --n40467d them all off every month maybe you have --n4046a4 to slip some and you pay part of it this month and part of it next month especially around christmas time.	them	--n40467d them all	no	NP		NP	NP-IOBJ	sw2092_s129_520
8725:78	and i, you know, i don't wa-, i don't like --n404c76 to give any at all	at	at all	no	ADVP				
8766:12	and you spend all this money on all these people,	spend	spend all this money on all these people	nullpartitive	VP		NP	NP-OBJ	sw2092_s161_503
8766:22	and you spend all this money on all these people,	on	on all these people	nullpartitive	PP		NP	NP-OTHER	sw2092_s161_505
8957:61	first thing that --n402a2c comes to mind is some kind of chain stitch because she starts and goes all the way across, you know, back and forth until she winds up with this big piece of, of afghan.	goes	goes all the way across, you know, back and forth until she winds up with this big piece of, of afghan	nullpartitive	VP		NP	NP-OBJ	sw2093_s67_522
8981:16	we get disconnected --n403242 all the time.		disconnected --n403242 all the time	nullpartitive	VP		NP-TMP		sw2093_s82_505
8987:16	i've got kids all over the united states	kids	got kids all over the united states	no	NP			NP-OBJ	
9009:154	but i, i've got, s-, i've put them, i chop them up and put them in jars and usually give them away because i, there is no way that i can eat all of those --n403ad2	eat	eat all of those --n403ad2	yes	VP		NP	NP-OBJ	sw2093_s101_554
9029:15	it seems like all i got --n404576 was,	like	like all i got --n404576 was	no	SBAR		NP-SBJ	NP-OTHER	sw2093_s117_505
9034:33	seems like these all, they all went to, uh, to leaf,	they	they all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2093_s120_511
9078:9	well, all right.	well	well, all right.	no	INTJ				
9099:32	they say in the paper nitrous oxides and ozone and all that.	and	nitrous oxides and ozone and all that	nullpartitive	NP		NP	NP-OTHER	sw2094_s5_506
9177:68	uh, maybe just take good care of our cars, and make sure we keep our pollution devices clean and all that sort of thing.	and	take good care of our cars, and make sure we keep our pollution devices clean and all that sort of thing	nullpartitive	VP		NP-ETC	NP-OTHER	sw2094_s51_520
9204:4	all those re-, restrictions are really too hard,			nullpartitive			NP-SBJ		sw2094_s71_501
9400:58	and, uh, uh, the ice and snow just doesn't, uh, hold any allure for me at all.	at	at all	no	ADVP				
9437:56	and, we, you, you just get used to air conditioning all the time,	conditioning	air conditioning all the time	nullpartitive	NP		NP		sw2095_s73_516
9489:73	but, uh, i'd rather, you know, like southern california, you know, have it kind of sunny and temperate all the time.	temperate	it kind of sunny and temperate all the time	nullpartitive	S		NP-TMP		sw2095_s101_520
9535:16	weather's just not all that inspiring.	not	's just not all that inspiring	nullpartitive	VP				
9550:19	well, my favorite, probably, all time t v show is star trek.	probably	my favorite, probably, all time t v show	no	NP-SBJ		NP-SBJ		sw2102_s2_502
9561:40	the star trek the next generation. which --n400463 it's an all new cast, but kind of the same idea, going out to new places and, and doing new things and finding out about different people,	an	an all new cast	no	NP			NP-OTHER	
9580:103	and i, i guess all, most of the shows i like --n400ae2 are, are kind of along the same line because they're all adventure.	're	're all adventure	no	VP				
9590:7	and all of a sudden he's got a hang glider	and	and all of a sudden he's got a hang glider		S		NP-ADV	NP-OTHER	sw2102_s26_501
9612:28	so he, he does all kinds of strange things like that.	does	does all kinds of strange things like that	no	VP		NP	NP-OBJ	sw2102_s38_508
9694:12	but they repeat all the old ones.	repeat	repeat all the old ones	nullpartitive	VP		NP	NP-OBJ	sw2102_s92_503
9756:19	for the imagination of it all.	it	it all	no	NP		NP	NP-OTHER	sw2102_s132_504
9860:24	i had --n4065d5 to catch them all on repeats.	them	them all	no	NP		NP	NP-IOBJ	sw2102_s202_507
9905:100	i think they're doing it, trying --n407344 to do it, or i hope they're trying --n40737f to do it all over the country, because they need --n4073b6 to collect all kinds of different different dialects.		do it all over the country	no	VP				
9905:133	i think they're doing it, trying --n407344 to do it, or i hope they're trying --n40737f to do it all over the country, because they need --n4073b6 to collect all kinds of different different dialects.	collect	collect all kinds of different different dialects	no	VP		NP	NP-OBJ	sw2102_s232_547
9929:44	the people, uh, i wouldn't consider --n400327 to be a threat at all	at	at all	no	ADVP				
10081:49	but last year i just figured they was under a lot of pressure because of all the publicity and everything,	of	because of all the publicity and everything	nullpartitive	PP-PRP		NP	NP-OTHER	sw2105_s62_515
10091:7	well all their players are signed now.	well	well all their players are signed now.	nullpartitive	S		NP-SBJ		sw2105_s69_502
10371:17	and it's like, all right who --n400f59 comes first	like	's like, all right who --n400f59 comes first	no	VP				
10378:130	and, and then when we go to sleep --n4010f0 at night, you know, it's like my husband and i have --n40112f to try --n40113e to get any space on the bed because we have all four of them up there with us.	have	have all four of them up there with us	no	VP		NP	NP-OBJ	sw2107_s46_544
10382:14	it's like all right, whose corners --n4013c0 is this one.	like	's like all right, whose corners --n4013c0 is this one	no	VP				
10411:20	he's probably been through all kinds of nightmares.	through	through all kinds of nightmares	no	PP-PRD		NP	NP-OTHER	sw2107_s68_506
10420:5	all four of ours are house cats.			no			NP-SBJ	NP-OTHER	sw2107_s74_501
10467:15	and then we did all this for him.	did	did all this for him	nullpartitive	VP		NP	NP-OBJ	sw2107_s105_504
10550:69	and his mother had been killed --n4047de --n4047e5 coming back across the road --n404800 to make sure she'd gotten all her kittens.	gotten	gotten all her kittens	nullpartitive	VP		NP	NP-OBJ	sw2107_s157_524
10751:15	but cats are good all the time.	good	are good all the time	nullpartitive	VP		NP-TMP		sw2107_s286_504
10772:20	and there were cats hanging all over him. hanging on his clothes, you know,	hanging	hanging all over him	no	VP				
10778:17	and they were just all over him and sitting on his head, the whole nine yards.	just	were just all over him and sitting on his head	no	VP				
10843:260	and, uh, uh, of the, of the few good things that --n400b76 were in it, it did show, uh, a lot about the f b i. about the training, and, and how they go through training --n400c01 and how they try --n400c18 to, to develop, uh, uh, a mental picture of who they're looking for --n400c67 before they go out and do it --n400c8a and all the different ways they go about --n400cb5 doing that --n400cc4.	and	the training, and, and how they go through training --n400c01 and how they try --n400c18 to, to develop, uh, uh, a mental picture of who they're looking for --n400c67 before they go out and do it --n400c8a and all the different ways they go about --n400cb5 doing that --n400cc4	nullpartitive	UCP		NP	NP-OTHER	sw2109_s11_578
10846:19	i wonder how truthful all of that was --n4011d3 or whether there was fiction.	truthful	how truthful all of that was --n4011d3	yes	SBAR		NP-SBJ	NP-OTHER	sw2109_s13_507
10881:10	and this all took place in the south.	this	this all	no	NP-SBJ		NP-SBJ	NP-OTHER	sw2109_s34_501
