Item_ID	Partitive	Sentence	Interpretation	Notes
114573:76	nullpartitive	"because i can't, uh, i don't know if i want --n4021f5 to, you know, pay all these repairs now --n402224 to start --n402233 getting it fixed --n402246 when it's starting --n40225d to breakdown --n40226c."		
121430:87	nullpartitive	"i heard someone say that, uh, if they would just, something about with the, uh, the defense budget, all that extra money they're throwing --n40388b back, if they cut back by so much percentage, it could throw back about six hundred dollars, on an average, six hundred dollars,"		
57269:50	nullpartitive	well when she was in high school --n404732 did she always have --n404749 to have all the new fashions		
121838:93	nullpartitive	"but in mine the wintertime it's not bad too because then i've got a, a fireplace and a nice, nice house and all that"		
3287:75	nullpartitive	"and what you do --n40223b is, you also try --n40225a to get up on stage and jump down on top of all these other people."		
68468:14	yes	he put up all of his ash trays.		
48396:37	nullpartitive	"you know, and it kind of scares me especially with all the shootings that --n4048ce have been going on, in l a, on the freeways,"		
62540:32	nullpartitive	"i, for years i did all that shopping and whatnot,"		
22652:10	nullpartitive	"they had all these canals up through this one little retirement area,"		
49114:39	nullpartitive	"although right now it's a lot lower, um, because of all the layoffs and everything"		
152941:93	nullpartitive	"a lot of times like the news coverage showed all the, you know, the guys who --n403c99 didn't get hurt --n403cb0 coming home and all the big parties"		
67502:19	nullpartitive	because i lived in indiana all my life		
75140:34	nullpartitive	"and we completely s-, completely stripped all the old wood shingles off, put decking up, put the paper down, and i mean just started from scratch."		
171245:62	nullpartitive	"well i guess i don't think that, uh, uh, juries need --n401bac to decide sentencing all the time."		
9489:73	nullpartitive	"but, uh, i'd rather, you know, like southern california, you know, have it kind of sunny and temperate all the time."		
1007:10:00	yes	"and then all of, a sudden you get your thirty a week because now, they're advertising you."		
124388:31	nullpartitive	"but they, styles come and go all the time, though."		
88736:177	nullpartitive	"and you, and it does a lot of things too that if you, if you do any kind of, uh, research or anything like that where you have --n403be7 to, uh, use footnotes --n403c06, it is just wonderful. because it keeps track of all your footnotes."		
155039:27	nullpartitive	and then it comes in to doing all the arithmetic.		
80518:17	nullpartitive	"even with her taking all those e-, expensive vitamins and stuff, we stayed right on the same track with each other"		
122588:51	nullpartitive	"and it was, it --n403e2f was really good to see all the movies and how the story developed --n403e6e,"		
